FIPS,State,County,Total_Observations
36061,New York,New York,2743
42003,Pennsylvania,Allegheny,1612
36047,New York,Kings,1336
42101,Pennsylvania,Philadelphia,1257
34027,New Jersey,Morris,999
42091,Pennsylvania,Montgomery,936
24005,Maryland,Baltimore,759
36005,New York,Bronx,659
36081,New York,Queens,659
34023,New Jersey,Middlesex,605
42011,Pennsylvania,Berks,578
34035,New Jersey,Somerset,537
42107,Pennsylvania,Schuylkill,522
39035,Ohio,Cuyahoga,521
42029,Pennsylvania,Chester,493
10003,Delaware,New Castle,465
36119,New York,Westchester,458
42071,Pennsylvania,Lancaster,406
34013,New Jersey,Essex,391
34003,New Jersey,Bergen,386
42017,Pennsylvania,Bucks,381
42045,Pennsylvania,Delaware,359
34025,New Jersey,Monmouth,313
36085,New York,Richmond,313
34021,New Jersey,Mercer,309
42043,Pennsylvania,Dauphin,268
42095,Pennsylvania,Northampton,242
34005,New Jersey,Burlington,230
34039,New Jersey,Union,226
36059,New York,Nassau,222
24043,Maryland,Washington,215
24025,Maryland,Harford,213
34017,New Jersey,Hudson,212
34019,New Jersey,Hunterdon,208
34007,New Jersey,Camden,202
24027,Maryland,Howard,200
34015,New Jersey,Gloucester,188
34029,New Jersey,Ocean,183
42077,Pennsylvania,Lehigh,182
42133,Pennsylvania,York,173
36087,New York,Rockland,153
34041,New Jersey,Warren,144
24015,Maryland,Cecil,140
24021,Maryland,Frederick,139
34001,New Jersey,Atlantic,137
39095,Ohio,Lucas,137
24003,Maryland,Anne Arundel,134
51069,Virginia,Frederick,134
51153,Virginia,Prince William,129
09001,Connecticut,Fairfield,125
34031,New Jersey,Passaic,119
42041,Pennsylvania,Cumberland,115
51680,Virginia,Lynchburg city,104
42089,Pennsylvania,Monroe,97
42075,Pennsylvania,Lebanon,86
36103,New York,Suffolk,84
51043,Virginia,Clarke,84
54037,West Virginia,Jefferson,81
51840,Virginia,Winchester city,77
34037,New Jersey,Sussex,76
42125,Pennsylvania,Washington,76
24013,Maryland,Carroll,74
51187,Virginia,Warren,73
42129,Pennsylvania,Westmoreland,70
51107,Virginia,Loudoun,69
51061,Virginia,Fauquier,61
51059,Virginia,Fairfax,57
42079,Pennsylvania,Luzerne,56
24001,Maryland,Allegany,55
24031,Maryland,Montgomery,54
36071,New York,Orange,52
42055,Pennsylvania,Franklin,51
42069,Pennsylvania,Lackawanna,51
24029,Maryland,Kent,47
51165,Virginia,Rockingham,46
42007,Pennsylvania,Beaver,45
34009,New Jersey,Cape May,44
24035,Maryland,Queen Anne's,43
42001,Pennsylvania,Adams,43
34033,New Jersey,Salem,41
10001,Delaware,Kent,40
39049,Ohio,Franklin,38
54003,West Virginia,Berkeley,38
09009,Connecticut,New Haven,37
42025,Pennsylvania,Carbon,35
39061,Ohio,Hamilton,33
51139,Virginia,Page,33
24033,Maryland,Prince George's,32
51157,Virginia,Rappahannock,31
42037,Pennsylvania,Columbia,29
42061,Pennsylvania,Huntingdon,28
36111,New York,Ulster,27
42099,Pennsylvania,Perry,27
39173,Ohio,Wood,26
42027,Pennsylvania,Centre,26
51013,Virginia,Arlington,26
34011,New Jersey,Cumberland,25
39093,Ohio,Lorain,25
13121,Georgia,Fulton,24
42093,Pennsylvania,Montour,23
42019,Pennsylvania,Butler,22
42103,Pennsylvania,Pike,22
42013,Pennsylvania,Blair,19
51003,Virginia,Albemarle,19
51820,Virginia,Waynesboro city,17
51047,Virginia,Culpeper,15
25027,Massachusetts,Worcester,14
39029,Ohio,Columbiana,14
51019,Virginia,Bedford,14
51510,Virginia,Alexandria city,14
51660,Virginia,Harrisonburg city,14
17031,Illinois,Cook,12
