taxon,totalCounties,Counties with H or G,Percent Coverage H or G,Counties with BONAP,Percent Coverage BONAP,Counties with USDA Plants,Percent Coverage USDA Plants,Counties with INaturalist,Percent Coverage INaturalist
Vitis acerifolia,131.0,96.00,73.28,105.0,80.15,65.00,49.62,17.00,12.98
Vitis aestivalis var. aestivalis,419.0,405.0,96.66,0,0,0,0,19.00,4.535
Vitis aestivalis var. bicolor,185.0,175.0,94.59,0,0,0,0,12.00,6.486
Vitis aestivalis,1652.,963.0,58.29,1448.,87.65,1165.,70.52,680.0,41.16
Vitis arizonica,82.00,70.00,85.37,63.00,76.83,41.00,50.00,39.00,47.56
Vitis baileyana,145.0,134.0,92.41,0,0,0,0,13.00,8.966
Vitis berlandieri,60.00,59.00,98.33,0,0,0,0,3.000,5.000
Vitis californica,58.00,55.00,94.83,51.00,87.93,41.00,70.69,50.00,86.21
Vitis cinerea,1268.,553.0,43.61,1172.,92.43,771.0,60.80,198.0,15.62
Vitis girdiana,20.00,19.00,95.00,10.00,50.00,8.000,40.00,8.000,40.00
Vitis labrusca,619.0,368.0,59.45,550.0,88.85,351.0,56.70,161.0,26.01
Vitis lincecumii,39.00,25.00,64.10,0,0,0,0,16.00,41.03
Vitis monticola,43.00,35.00,81.40,32.00,74.42,14.00,32.56,20.00,46.51
Vitis mustangensis,177.0,139.0,78.53,126.0,71.19,60.00,33.90,127.0,71.75
Vitis palmata,304.0,131.0,43.09,256.0,84.21,156.0,51.32,39.00,12.83
Vitis riparia,1547.,913.0,59.02,1417.,91.60,1029.,66.52,623.0,40.27
Vitis rotundifolia,967.0,606.0,62.67,0,0,593.0,61.32,875.0,90.49
Vitis rufotomentosa,0,0,0,0,0,0,0,0,0
Vitis rupestris,187.0,97.00,51.87,155.0,82.89,80.00,42.78,21.00,11.23
Vitis shuttleworthii,36.00,33.00,91.67,31.00,86.11,29.00,80.56,33.00,91.67
Vitis simpsonii,180.0,172.0,95.56,0,0,0,0,37.00,20.56
Vitis vulpina,1470.,765.0,52.04,1300.,88.44,904.0,61.50,293.0,19.93
Vitis x champinii,17.00,15.00,88.24,0,0,0,0,3.000,17.65
Vitis x doaniana,21.00,20.00,95.24,0,0,0,0,1.000,4.762
Vitis x novae-angliae,34.00,33.00,97.06,0,0,0,0,1.000,2.941
