NAME,GEOID,STUSPS,O,H,G,pre1970,USDA Plants,BONAP,Nature Serve,anyRecord
La Plata,08067,CO,NA,NA,NA,NA,NA,NA,NA,0
Labette,20099,KS,NA,NA,NA,NA,NA,NA,NA,0
Lee,48287,TX,NA,NA,NA,NA,NA,NA,NA,0
San Juan,35045,NM,NA,NA,NA,NA,NA,NA,NA,0
Marshall,40095,OK,NA,NA,NA,NA,NA,1,NA,1
Bowie,48037,TX,NA,NA,NA,NA,NA,NA,NA,0
Kleberg,48273,TX,NA,NA,NA,NA,NA,NA,NA,0
Hudspeth,48229,TX,NA,NA,NA,NA,NA,NA,NA,0
Shelby,48419,TX,NA,NA,NA,NA,NA,NA,NA,0
Loving,48301,TX,NA,NA,NA,NA,NA,NA,NA,0
Jefferson,08059,CO,NA,NA,NA,NA,NA,NA,NA,0
Lake,08065,CO,NA,NA,NA,NA,NA,NA,NA,0
Huerfano,08055,CO,NA,NA,NA,NA,NA,NA,NA,0
Franklin,20059,KS,NA,NA,NA,NA,NA,NA,NA,0
Scott,20171,KS,NA,11,NA,3,1,1,NA,13
De Baca,35011,NM,NA,NA,NA,NA,NA,NA,NA,0
Wagoner,40145,OK,NA,NA,NA,NA,NA,NA,NA,0
Seminole,40133,OK,NA,NA,NA,NA,NA,NA,NA,0
Montgomery,48339,TX,NA,NA,NA,NA,NA,NA,NA,0
Bexar,48029,TX,NA,NA,NA,NA,NA,NA,NA,0
Jefferson,48245,TX,NA,NA,NA,NA,NA,NA,NA,0
Tyler,48457,TX,NA,NA,NA,NA,NA,NA,NA,0
Fort Bend,48157,TX,NA,NA,NA,NA,NA,NA,NA,0
Ellis,48139,TX,NA,NA,NA,NA,NA,NA,NA,0
Wood,48499,TX,NA,NA,NA,NA,NA,NA,NA,0
Brazos,48041,TX,NA,NA,NA,NA,NA,NA,NA,0
Upshur,48459,TX,NA,NA,NA,NA,NA,NA,NA,0
Morris,48343,TX,NA,NA,NA,NA,NA,NA,NA,0
Roberts,48393,TX,NA,1,NA,NA,1,1,NA,3
Leon,48289,TX,NA,NA,NA,NA,NA,NA,NA,0
Navarro,48349,TX,NA,NA,NA,NA,NA,NA,NA,0
Grimes,48185,TX,NA,NA,NA,NA,NA,NA,NA,0
Van Zandt,48467,TX,NA,NA,NA,NA,NA,NA,NA,0
Dickens,48125,TX,1,NA,NA,NA,1,1,NA,3
Crockett,48105,TX,NA,NA,NA,NA,NA,NA,NA,0
Scurry,48415,TX,NA,NA,NA,NA,NA,NA,NA,0
Rains,48379,TX,NA,NA,NA,NA,NA,NA,NA,0
Kenedy,48261,TX,NA,NA,NA,NA,NA,NA,NA,0
Dolores,08033,CO,NA,NA,NA,NA,NA,NA,NA,0
