NAME,GEOID,STUSPS,O,H,G,pre1970,USDA Plants,BONAP,Nature Serve,anyRecord
Houston,01069,AL,NA,NA,NA,NA,1,1,NA,2
Choctaw,01023,AL,NA,NA,NA,NA,1,1,NA,2
Russell,01113,AL,NA,NA,NA,NA,1,1,NA,2
Sussex,10005,DE,1,4,NA,3,NA,1,NA,6
Jackson,01071,AL,NA,3,NA,NA,1,1,NA,5
Madison,01089,AL,5,3,NA,NA,1,1,NA,10
Chicot,05017,AR,NA,NA,NA,NA,NA,1,NA,1
Randolph,05121,AR,NA,1,NA,NA,NA,1,NA,2
Lafayette,05073,AR,NA,2,NA,1,NA,1,NA,3
Hempstead,05057,AR,1,NA,NA,NA,1,1,NA,3
Bradford,12007,FL,NA,1,NA,NA,1,1,NA,3
New Castle,10003,DE,3,NA,NA,NA,1,1,NA,5
Western Connecticut,09190,CT,11,12,NA,7,NA,NA,NA,23
Brevard,12009,FL,3,11,1,1,1,1,NA,17
Walton,12131,FL,NA,NA,NA,NA,1,1,NA,2
Hernando,12053,FL,13,6,NA,2,1,1,NA,21
Hamilton,12047,FL,NA,2,NA,NA,1,1,NA,4
Jefferson,12065,FL,NA,2,NA,NA,1,1,NA,4
Duval,12031,FL,7,5,NA,NA,1,1,NA,14
Elbert,13105,GA,NA,2,NA,NA,1,1,NA,4
Murray,13213,GA,1,4,NA,NA,1,1,NA,7
Livingston,17105,IL,NA,NA,NA,NA,NA,NA,NA,0
Rock Island,17161,IL,1,1,NA,1,NA,NA,NA,2
Mahnomen,27087,MN,NA,NA,NA,NA,NA,NA,NA,0
Lake,18089,IN,2,9,NA,2,1,1,NA,13
Ringgold,19159,IA,NA,NA,NA,NA,NA,NA,NA,0
Scott,19163,IA,NA,NA,NA,NA,NA,NA,NA,0
Hennepin,27053,MN,3,NA,NA,NA,NA,NA,NA,3
Mason,17125,IL,1,1,NA,NA,1,1,NA,4
Bronx,36005,NY,6,9,NA,6,1,1,NA,17
Labette,20099,KS,NA,1,NA,NA,NA,NA,NA,1
Westchester,36119,NY,22,6,NA,4,1,1,NA,30
Madison,36053,NY,1,NA,NA,NA,1,1,NA,3
Whitley,21235,KY,NA,NA,NA,NA,1,1,NA,2
Providence,44007,RI,5,5,NA,3,1,1,NA,12
Erie,36029,NY,13,NA,NA,NA,1,1,NA,15
Lee,48287,TX,NA,NA,NA,NA,NA,1,NA,1
Saratoga,36091,NY,12,3,NA,NA,1,1,NA,17
Talladega,01121,AL,NA,1,NA,NA,1,1,NA,3
Letcher,21133,KY,1,3,NA,3,1,1,NA,6
Cuyahoga,39035,OH,19,2,NA,1,1,1,NA,23
Hamilton,39061,OH,4,NA,NA,NA,1,1,NA,6
Plaquemines,22075,LA,NA,NA,NA,NA,NA,NA,NA,0
De Soto,22031,LA,NA,NA,NA,NA,1,1,NA,2
Union,22111,LA,1,NA,NA,NA,1,1,NA,3
Vernon,22115,LA,NA,2,NA,NA,1,1,NA,4
Macon,01087,AL,NA,NA,NA,NA,1,1,NA,2
Crenshaw,01041,AL,NA,2,NA,NA,1,1,NA,4
Baltimore,24005,MD,7,1,NA,NA,NA,1,NA,9
Dorchester,24019,MD,1,2,NA,2,NA,1,NA,4
Charles,24017,MD,NA,2,NA,2,NA,1,NA,3
Cecil,24015,MD,NA,NA,NA,NA,NA,1,NA,1
Barnstable,25001,MA,5,6,NA,NA,1,1,NA,13
Middlesex,25017,MA,21,18,NA,4,1,1,NA,41
Marquette,26103,MI,NA,NA,NA,NA,NA,NA,NA,0
Gogebic,26053,MI,NA,NA,NA,NA,NA,NA,NA,0
Monroe,26115,MI,1,NA,NA,NA,NA,NA,NA,1
Presque Isle,26141,MI,NA,NA,NA,NA,NA,NA,NA,0
Lake,27075,MN,NA,NA,NA,NA,NA,NA,NA,0
Washington,27163,MN,1,NA,NA,NA,NA,NA,NA,1
Adams,28001,MS,2,2,NA,NA,NA,NA,NA,4
Lowndes,28087,MS,NA,NA,NA,NA,NA,NA,NA,0
Tunica,28143,MS,NA,NA,NA,NA,NA,NA,NA,0
Tippah,28139,MS,NA,NA,NA,NA,NA,1,NA,1
Jefferson,29099,MO,6,13,NA,NA,1,1,NA,21
Strafford,33017,NH,NA,13,NA,12,1,1,NA,15
Atlantic,34001,NJ,6,15,NA,14,1,1,NA,23
Cape May,34009,NJ,5,37,NA,34,1,1,NA,44
Warren,34041,NJ,1,23,NA,23,1,1,NA,26
Hunterdon,34019,NJ,3,8,1,6,1,1,NA,14
Monmouth,34025,NJ,5,9,NA,7,1,1,NA,16
Middlesex,34023,NJ,3,1,NA,NA,1,1,NA,6
Essex,36031,NY,2,NA,NA,NA,1,1,NA,4
Columbus,37047,NC,NA,NA,NA,NA,1,1,NA,2
Cherokee,37039,NC,1,NA,NA,NA,NA,1,NA,2
Polk,37149,NC,3,NA,NA,NA,1,1,NA,5
Ashe,37009,NC,1,3,NA,NA,1,1,NA,6
Dare,37055,NC,3,22,NA,1,1,1,NA,27
Hertford,37091,NC,NA,NA,NA,NA,NA,NA,NA,0
Washington,39167,OH,NA,NA,NA,NA,1,1,NA,2
Marshall,40095,OK,NA,NA,NA,NA,1,1,NA,2
Bowie,48037,TX,1,1,NA,NA,NA,NA,NA,2
Lancaster,42071,PA,1,24,NA,21,1,1,NA,27
Northampton,42095,PA,7,58,NA,54,1,1,NA,67
Washington,44009,RI,5,2,NA,1,1,1,NA,9
Beaufort,45013,SC,2,11,NA,6,1,1,NA,15
Horry,45051,SC,3,3,NA,NA,1,1,NA,8
York,45091,SC,1,NA,NA,NA,NA,1,NA,2
Shelby,47157,TN,1,NA,NA,NA,1,1,NA,3
Sumner,47165,TN,NA,NA,NA,NA,1,1,NA,2
Carter,47019,TN,NA,2,NA,NA,1,1,NA,4
Monroe,47123,TN,1,2,NA,NA,1,1,NA,5
Campbell,47013,TN,NA,NA,NA,NA,NA,1,NA,1
Kleberg,48273,TX,NA,NA,NA,NA,NA,NA,NA,0
Hudspeth,48229,TX,NA,NA,NA,NA,NA,NA,NA,0
Shelby,48419,TX,NA,1,NA,NA,1,1,NA,3
Loving,48301,TX,NA,NA,NA,NA,NA,NA,NA,0
Northumberland,51133,VA,NA,NA,NA,NA,NA,NA,NA,0
Westmoreland,51193,VA,NA,NA,NA,NA,NA,NA,NA,0
Gloucester,51073,VA,NA,1,NA,NA,1,1,NA,3
Loudoun,51107,VA,4,2,NA,1,1,1,NA,8
Pittsylvania,51143,VA,NA,NA,NA,NA,1,1,NA,2
Halifax,51083,VA,NA,NA,NA,NA,NA,1,NA,1
McDowell,54047,WV,NA,NA,NA,NA,NA,NA,NA,0
Wayne,54099,WV,NA,1,NA,1,1,1,NA,3
Jefferson,54037,WV,1,NA,NA,NA,NA,NA,NA,1
Berkeley,54003,WV,1,NA,NA,NA,1,1,NA,3
Ashland,55003,WI,NA,NA,NA,NA,NA,NA,NA,0
Iron,55051,WI,NA,NA,NA,NA,NA,NA,NA,0
Faulkner,05045,AR,2,1,NA,1,1,1,NA,5
Bradley,05011,AR,NA,1,NA,NA,1,1,NA,3
Lonoke,05085,AR,1,NA,NA,NA,NA,NA,NA,1
Nevada,05099,AR,NA,2,NA,NA,1,1,NA,4
Cross,05037,AR,1,5,NA,NA,1,1,NA,8
Seminole,12117,FL,4,6,NA,1,1,1,NA,12
Gilchrist,12041,FL,3,3,NA,NA,1,1,NA,8
Calhoun,12013,FL,1,1,NA,NA,1,1,NA,4
Pierce,13229,GA,NA,NA,NA,NA,NA,NA,NA,0
Sumter,13261,GA,NA,NA,NA,NA,NA,NA,NA,0
Bibb,13021,GA,2,1,NA,NA,NA,1,NA,4
Henry,13151,GA,NA,2,NA,2,NA,NA,NA,2
Madison,13195,GA,NA,NA,NA,NA,NA,NA,NA,0
Taliaferro,13265,GA,NA,NA,NA,NA,NA,NA,NA,0
Tattnall,13267,GA,NA,1,NA,NA,1,1,NA,3
Putnam,13237,GA,NA,NA,NA,NA,NA,NA,NA,0
Oconee,13219,GA,NA,NA,NA,NA,NA,NA,NA,0
Mitchell,13205,GA,NA,1,NA,NA,NA,NA,NA,1
Miller,13201,GA,NA,NA,NA,NA,NA,NA,NA,0
Edwards,17047,IL,NA,NA,NA,NA,1,1,NA,2
Clinton,17027,IL,NA,NA,NA,NA,1,1,NA,2
Fayette,18041,IN,1,NA,NA,NA,NA,NA,NA,1
Huntington,18069,IN,NA,NA,NA,NA,1,1,NA,2
Union,19175,IA,NA,NA,NA,NA,NA,NA,NA,0
Franklin,20059,KS,NA,NA,NA,NA,NA,NA,NA,0
Scott,20171,KS,NA,NA,NA,NA,NA,NA,NA,0
Larue,21123,KY,NA,NA,NA,NA,1,1,NA,2
Johnson,21115,KY,NA,NA,NA,NA,1,1,NA,2
Jackson,21109,KY,NA,NA,NA,NA,1,1,NA,2
Morgan,21175,KY,NA,NA,NA,NA,NA,NA,NA,0
Bath,21011,KY,NA,NA,NA,NA,1,1,NA,2
Wayne,21231,KY,NA,NA,NA,NA,1,1,NA,2
Edmonson,21061,KY,1,NA,NA,NA,1,1,NA,3
Menifee,21165,KY,NA,NA,NA,NA,NA,1,NA,1
Acadia,22001,LA,NA,NA,NA,NA,NA,NA,NA,0
Orleans,22071,LA,1,NA,NA,NA,NA,NA,NA,1
St. Tammany,22103,LA,1,NA,NA,NA,1,1,NA,3
Morehouse,22067,LA,NA,NA,NA,NA,1,1,NA,2
Red River,22081,LA,NA,NA,NA,NA,1,1,NA,2
Evangeline,22039,LA,NA,2,NA,NA,1,1,NA,4
Grant,22043,LA,NA,NA,NA,NA,1,1,NA,2
Richland,22083,LA,NA,NA,NA,NA,1,1,NA,2
Oscoda,26135,MI,NA,NA,NA,NA,NA,NA,NA,0
Brown,27015,MN,NA,NA,NA,NA,NA,NA,NA,0
Yazoo,28163,MS,NA,1,NA,NA,NA,NA,NA,1
Madison,28089,MS,1,NA,NA,NA,NA,NA,NA,1
Newton,28101,MS,NA,NA,NA,NA,1,1,NA,2
Carroll,29033,MO,NA,NA,NA,NA,NA,NA,NA,0
Cedar,29039,MO,NA,6,NA,NA,1,1,NA,8
Schuyler,29197,MO,NA,NA,NA,NA,NA,NA,NA,0
Loup,31115,NE,NA,NA,NA,NA,NA,NA,NA,0
Arthur,31005,NE,NA,NA,NA,NA,NA,NA,NA,0
Warren,36113,NY,3,1,NA,NA,1,1,NA,6
Chenango,36017,NY,NA,NA,NA,NA,NA,NA,NA,0
Livingston,36051,NY,NA,NA,NA,NA,NA,NA,NA,0
Wilkes,37193,NC,NA,4,NA,NA,1,1,NA,6
Rowan,37159,NC,NA,NA,NA,NA,1,1,NA,2
Henderson,37089,NC,1,NA,NA,NA,1,1,NA,3
Sampson,37163,NC,1,2,NA,NA,NA,1,NA,4
Mitchell,37121,NC,NA,NA,NA,NA,1,1,NA,2
Harrison,39067,OH,NA,NA,NA,NA,1,1,NA,2
Wagoner,40145,OK,NA,NA,NA,NA,NA,1,NA,1
Seminole,40133,OK,NA,2,NA,NA,1,1,NA,4
Fayette,42051,PA,3,30,NA,16,1,1,NA,35
Westmoreland,42129,PA,1,57,NA,36,1,1,NA,60
Cameron,42023,PA,NA,1,NA,NA,NA,1,NA,2
Kershaw,45055,SC,NA,2,NA,NA,1,1,NA,4
Clarendon,45027,SC,NA,1,NA,NA,1,1,NA,3
Calhoun,45017,SC,NA,1,NA,NA,1,1,NA,3
Anderson,47001,TN,NA,1,NA,NA,1,1,NA,3
