NAME,GEOID,STUSPS,O,H,G,pre1970,USDA Plants,BONAP,Nature Serve,anyRecord
Mohave,04015,AZ,13,39,6,4,1,1,NA,60
Maricopa,04013,AZ,45,35,2,4,1,1,NA,84
Lee,48287,TX,NA,1,NA,NA,NA,NA,NA,1
San Juan,35045,NM,NA,NA,NA,NA,1,1,NA,2
Bowie,48037,TX,NA,NA,NA,NA,NA,NA,NA,0
Gila,04007,AZ,70,58,18,8,1,1,NA,148
Kleberg,48273,TX,NA,NA,NA,NA,NA,NA,NA,0
Hudspeth,48229,TX,NA,1,NA,NA,NA,1,NA,2
Shelby,48419,TX,NA,NA,NA,NA,NA,NA,NA,0
Loving,48301,TX,NA,NA,NA,NA,NA,NA,NA,0
San Juan,49037,UT,NA,NA,NA,NA,1,1,NA,2
Grand,49019,UT,NA,NA,NA,NA,NA,NA,NA,0
Utah,49049,UT,NA,68,NA,NA,NA,NA,NA,68
Juab,49023,UT,NA,NA,NA,NA,NA,NA,NA,0
Eureka,32011,NV,NA,NA,NA,NA,NA,NA,NA,0
De Baca,35011,NM,NA,NA,NA,NA,1,1,NA,2
Montgomery,48339,TX,NA,NA,NA,NA,NA,NA,NA,0
Bexar,48029,TX,NA,NA,NA,NA,NA,NA,NA,0
Jefferson,48245,TX,NA,NA,NA,NA,NA,NA,NA,0
Tyler,48457,TX,NA,NA,NA,NA,NA,NA,NA,0
Fort Bend,48157,TX,NA,NA,NA,NA,NA,NA,NA,0
Ellis,48139,TX,NA,NA,NA,NA,1,NA,NA,1
Wood,48499,TX,NA,NA,NA,NA,NA,NA,NA,0
Brazos,48041,TX,NA,NA,NA,NA,NA,NA,NA,0
Upshur,48459,TX,NA,NA,NA,NA,NA,NA,NA,0
Morris,48343,TX,NA,NA,NA,NA,NA,NA,NA,0
Roberts,48393,TX,NA,NA,NA,NA,NA,NA,NA,0
Leon,48289,TX,NA,NA,NA,NA,NA,NA,NA,0
Navarro,48349,TX,NA,NA,NA,NA,NA,NA,NA,0
Grimes,48185,TX,NA,NA,NA,NA,NA,NA,NA,0
Van Zandt,48467,TX,NA,NA,NA,NA,NA,NA,NA,0
Dickens,48125,TX,NA,NA,NA,NA,NA,NA,NA,0
Crockett,48105,TX,NA,NA,NA,NA,NA,NA,NA,0
Scurry,48415,TX,NA,NA,NA,NA,NA,NA,NA,0
Rains,48379,TX,NA,NA,NA,NA,NA,NA,NA,0
Kenedy,48261,TX,NA,NA,NA,NA,NA,NA,NA,0
Davis,49011,UT,NA,NA,NA,NA,NA,NA,NA,0
