NAME,GEOID,STUSPS,O,H,G,pre1970,USDA Plants,BONAP,Nature Serve,anyRecord
Houston,01069,AL,NA,NA,NA,NA,NA,NA,NA,0
Choctaw,01023,AL,NA,NA,NA,NA,NA,NA,NA,0
Russell,01113,AL,NA,NA,NA,NA,NA,NA,NA,0
Jackson,01071,AL,NA,NA,NA,NA,NA,NA,NA,0
Madison,01089,AL,NA,NA,NA,NA,NA,NA,NA,0
Chicot,05017,AR,NA,NA,NA,NA,NA,NA,NA,0
Randolph,05121,AR,NA,NA,NA,NA,NA,NA,NA,0
Lafayette,05073,AR,NA,NA,NA,NA,NA,NA,NA,0
Hempstead,05057,AR,NA,NA,NA,NA,NA,NA,NA,0
Bradford,12007,FL,NA,NA,NA,NA,NA,NA,NA,0
Brevard,12009,FL,NA,NA,NA,NA,NA,NA,NA,0
Walton,12131,FL,NA,NA,NA,NA,NA,NA,NA,0
Hernando,12053,FL,NA,NA,NA,NA,NA,NA,NA,0
Hamilton,12047,FL,NA,NA,NA,NA,NA,NA,NA,0
Jefferson,12065,FL,NA,NA,NA,NA,NA,NA,NA,0
Duval,12031,FL,NA,NA,NA,NA,NA,NA,NA,0
Elbert,13105,GA,NA,5,NA,NA,NA,NA,NA,5
Murray,13213,GA,NA,NA,NA,NA,NA,NA,NA,0
Lake,18089,IN,NA,NA,NA,NA,NA,NA,NA,0
Whitley,21235,KY,NA,NA,NA,NA,NA,NA,NA,0
Lee,48287,TX,NA,NA,NA,NA,NA,NA,NA,0
Talladega,01121,AL,NA,2,NA,1,NA,NA,NA,2
Letcher,21133,KY,NA,NA,NA,NA,NA,NA,NA,0
Cuyahoga,39035,OH,NA,NA,NA,NA,NA,NA,NA,0
Hamilton,39061,OH,NA,NA,NA,NA,NA,NA,NA,0
Macon,01087,AL,NA,NA,NA,NA,NA,NA,NA,0
Crenshaw,01041,AL,NA,NA,NA,NA,NA,NA,NA,0
Baltimore,24005,MD,NA,NA,NA,NA,NA,NA,NA,0
Dorchester,24019,MD,NA,NA,NA,NA,NA,NA,NA,0
Charles,24017,MD,NA,NA,NA,NA,NA,NA,NA,0
Cecil,24015,MD,NA,NA,NA,NA,NA,NA,NA,0
Adams,28001,MS,NA,NA,NA,NA,NA,NA,NA,0
Lowndes,28087,MS,NA,NA,NA,NA,NA,NA,NA,0
Tunica,28143,MS,NA,NA,NA,NA,NA,NA,NA,0
Tippah,28139,MS,NA,NA,NA,NA,NA,NA,NA,0
Columbus,37047,NC,NA,NA,NA,NA,NA,NA,NA,0
Cherokee,37039,NC,NA,NA,NA,NA,NA,NA,NA,0
Polk,37149,NC,NA,6,NA,1,NA,NA,NA,6
Ashe,37009,NC,NA,NA,NA,NA,NA,NA,NA,0
Dare,37055,NC,NA,NA,NA,NA,NA,NA,NA,0
Hertford,37091,NC,NA,NA,NA,NA,NA,NA,NA,0
Washington,39167,OH,NA,NA,NA,NA,NA,NA,NA,0
Bowie,48037,TX,NA,NA,NA,NA,NA,NA,NA,0
Lancaster,42071,PA,NA,NA,NA,NA,NA,NA,NA,0
Northampton,42095,PA,NA,NA,NA,NA,NA,NA,NA,0
