NAME,GEOID,STUSPS,O,H,G,pre1970,USDA Plants,BONAP,Nature Serve,anyRecord
San Luis Obispo,06079,CA,NA,NA,NA,NA,NA,NA,NA,0
San Mateo,06081,CA,NA,NA,NA,NA,NA,NA,NA,0
Sierra,06091,CA,NA,NA,NA,NA,NA,NA,NA,0
Sacramento,06067,CA,NA,NA,NA,NA,NA,NA,NA,0
Tulare,06107,CA,NA,NA,NA,NA,NA,NA,NA,0
San Benito,06069,CA,NA,NA,NA,NA,NA,NA,NA,0
Lee,48287,TX,NA,NA,NA,NA,NA,NA,NA,0
Adams,28001,MS,NA,NA,NA,NA,NA,NA,NA,0
Lowndes,28087,MS,NA,NA,NA,NA,NA,NA,NA,0
Tunica,28143,MS,NA,NA,NA,NA,NA,NA,NA,0
Tippah,28139,MS,NA,NA,NA,NA,NA,NA,NA,0
San Juan,35045,NM,NA,NA,NA,NA,NA,NA,NA,0
Marshall,40095,OK,NA,NA,NA,NA,NA,NA,NA,0
Bowie,48037,TX,NA,NA,NA,NA,NA,NA,NA,0
Kleberg,48273,TX,NA,NA,NA,NA,NA,NA,NA,0
Hudspeth,48229,TX,NA,NA,NA,NA,NA,NA,NA,0
Shelby,48419,TX,NA,NA,NA,NA,NA,NA,NA,0
Loving,48301,TX,NA,NA,NA,NA,NA,NA,NA,0
Butte,06007,CA,NA,NA,NA,NA,NA,NA,NA,0
Merced,06047,CA,NA,NA,NA,NA,NA,NA,NA,0
Yazoo,28163,MS,NA,NA,NA,NA,NA,NA,NA,0
Madison,28089,MS,NA,NA,NA,NA,NA,NA,NA,0
Newton,28101,MS,NA,NA,NA,NA,NA,NA,NA,0
De Baca,35011,NM,NA,NA,NA,NA,NA,NA,NA,0
Wagoner,40145,OK,NA,NA,NA,NA,NA,NA,NA,0
Seminole,40133,OK,NA,1,NA,NA,NA,NA,NA,1
Montgomery,48339,TX,NA,NA,NA,NA,NA,NA,NA,0
Bexar,48029,TX,1,9,NA,2,NA,NA,NA,10
Jefferson,48245,TX,NA,NA,NA,NA,NA,NA,NA,0
Tyler,48457,TX,NA,NA,NA,NA,NA,NA,NA,0
Fort Bend,48157,TX,NA,NA,NA,NA,NA,NA,NA,0
Ellis,48139,TX,NA,NA,NA,NA,NA,NA,NA,0
Wood,48499,TX,NA,1,NA,NA,NA,NA,NA,1
Brazos,48041,TX,NA,2,NA,NA,NA,NA,NA,2
Upshur,48459,TX,NA,NA,NA,NA,NA,NA,NA,0
Morris,48343,TX,NA,NA,NA,NA,NA,NA,NA,0
Roberts,48393,TX,NA,NA,NA,NA,NA,NA,NA,0
Leon,48289,TX,NA,2,NA,NA,NA,NA,NA,2
Navarro,48349,TX,NA,1,NA,NA,NA,NA,NA,1
Grimes,48185,TX,NA,NA,NA,NA,NA,NA,NA,0
Van Zandt,48467,TX,NA,NA,1,NA,NA,NA,NA,1
Dickens,48125,TX,NA,NA,NA,NA,NA,NA,NA,0
Crockett,48105,TX,NA,NA,NA,NA,NA,NA,NA,0
Scurry,48415,TX,NA,NA,NA,NA,NA,NA,NA,0
Rains,48379,TX,NA,NA,NA,NA,NA,NA,NA,0
Kenedy,48261,TX,NA,NA,NA,NA,NA,NA,NA,0
Tuolumne,06109,CA,NA,NA,NA,NA,NA,NA,NA,0
Orange,06059,CA,NA,NA,NA,NA,NA,NA,NA,0
Los Angeles,06037,CA,NA,NA,NA,NA,NA,NA,NA,0
Santa Cruz,06087,CA,NA,NA,NA,NA,NA,NA,NA,0
Sonoma,06097,CA,NA,NA,NA,NA,NA,NA,NA,0
Marin,06041,CA,NA,NA,NA,NA,NA,NA,NA,0
Alameda,06001,CA,NA,NA,NA,NA,NA,NA,NA,0
Alpine,06003,CA,NA,NA,NA,NA,NA,NA,NA,0
Placer,06061,CA,NA,NA,NA,NA,NA,NA,NA,0
Nevada,06057,CA,NA,NA,NA,NA,NA,NA,NA,0
Jackson,40065,OK,NA,NA,NA,NA,NA,NA,NA,0
Tillman,40141,OK,NA,NA,NA,NA,NA,NA,NA,0
Jefferson,40067,OK,NA,NA,NA,NA,NA,NA,NA,0
Choctaw,40023,OK,NA,NA,NA,NA,NA,NA,NA,0
Sequoyah,40135,OK,NA,NA,NA,NA,NA,NA,NA,0
McCurtain,40089,OK,NA,NA,NA,NA,NA,NA,NA,0
Pike,28113,MS,NA,NA,NA,NA,NA,NA,NA,0
Washington,28151,MS,NA,NA,NA,NA,NA,NA,NA,0
Issaquena,28055,MS,NA,NA,NA,NA,NA,NA,NA,0
DeSoto,28033,MS,NA,NA,NA,NA,NA,NA,NA,0
Claiborne,28021,MS,NA,NA,NA,NA,NA,NA,NA,0
Luna,35029,NM,NA,NA,NA,NA,NA,NA,NA,0
Yolo,06113,CA,NA,NA,NA,NA,NA,NA,NA,0
McClain,40087,OK,NA,NA,NA,NA,NA,NA,NA,0
Pottawatomie,40125,OK,NA,NA,NA,NA,NA,NA,NA,0
Henderson,48213,TX,NA,NA,NA,NA,NA,NA,NA,0
Nueces,48355,TX,NA,NA,NA,NA,NA,NA,NA,0
Starr,48427,TX,NA,NA,NA,NA,NA,NA,NA,0
San Patricio,48409,TX,NA,NA,NA,NA,NA,NA,NA,0
Brazoria,48039,TX,NA,NA,NA,NA,NA,NA,NA,0
Terrell,48443,TX,NA,NA,NA,NA,NA,NA,NA,0
Hemphill,48211,TX,NA,NA,NA,NA,NA,NA,NA,0
Cass,48067,TX,NA,NA,NA,NA,NA,NA,NA,0
Fresno,06019,CA,NA,NA,NA,NA,NA,NA,NA,0
Trinity,06105,CA,NA,NA,NA,NA,NA,NA,NA,0
Shasta,06089,CA,NA,NA,NA,NA,NA,NA,NA,0
Yuba,06115,CA,NA,NA,NA,NA,NA,NA,NA,0
Colusa,06011,CA,NA,NA,NA,NA,NA,NA,NA,0
Harding,35021,NM,NA,NA,NA,NA,NA,NA,NA,0
Sierra,35051,NM,NA,NA,NA,NA,NA,NA,NA,0
Red River,48387,TX,NA,NA,NA,NA,NA,NA,NA,0
Hockley,48219,TX,NA,NA,NA,NA,NA,NA,NA,0
Dimmit,48127,TX,NA,1,NA,1,NA,NA,NA,1
Walker,48471,TX,NA,NA,NA,NA,NA,NA,NA,0
Colorado,48089,TX,NA,NA,NA,NA,NA,NA,NA,0
Duval,48131,TX,NA,NA,NA,NA,NA,NA,NA,0
Ward,48475,TX,NA,NA,NA,NA,NA,NA,NA,0
Houston,48225,TX,NA,NA,NA,NA,NA,NA,NA,0
Nacogdoches,48347,TX,NA,NA,NA,NA,NA,NA,NA,0
Floyd,48153,TX,NA,NA,NA,NA,NA,NA,NA,0
Victoria,48469,TX,NA,NA,NA,NA,NA,NA,NA,0
Hopkins,48223,TX,NA,NA,NA,NA,NA,NA,NA,0
Bee,48025,TX,NA,NA,NA,NA,NA,NA,NA,0
Delta,48119,TX,NA,NA,NA,NA,NA,NA,NA,0
Trinity,48455,TX,NA,NA,NA,NA,NA,NA,NA,0
Austin,48015,TX,NA,10,NA,NA,NA,NA,NA,10
Fisher,48151,TX,NA,NA,NA,NA,NA,NA,NA,0
San Jacinto,48407,TX,NA,NA,NA,NA,NA,NA,NA,0
San Augustine,48405,TX,NA,NA,NA,NA,NA,NA,NA,0
Washington,48477,TX,NA,NA,NA,NA,NA,NA,NA,0
Sutton,48435,TX,NA,NA,NA,NA,NA,NA,NA,0
Muskogee,40101,OK,NA,NA,NA,NA,NA,NA,NA,0
Craig,40035,OK,NA,NA,NA,NA,NA,NA,NA,0
Kiowa,40075,OK,NA,NA,NA,NA,NA,NA,NA,0
Leflore,28083,MS,NA,NA,NA,NA,NA,NA,NA,0
Stone,28131,MS,NA,NA,NA,NA,NA,NA,NA,0
Holmes,28051,MS,NA,NA,NA,NA,NA,NA,NA,0
Wilkinson,28157,MS,NA,NA,NA,NA,NA,NA,NA,0
Calhoun,28013,MS,NA,NA,NA,NA,NA,NA,NA,0
Le Flore,40079,OK,NA,NA,NA,NA,NA,NA,NA,0
Chambers,48071,TX,NA,NA,NA,NA,NA,NA,NA,0
Presidio,48377,TX,NA,NA,NA,NA,NA,NA,NA,0
Collingsworth,48087,TX,NA,NA,NA,NA,NA,NA,NA,0
