NAME,GEOID,STUSPS,O,H,G,pre1970,USDA Plants,BONAP,Nature Serve,anyRecord
San Luis Obispo,06079,CA,NA,10,NA,1,1,1,NA,12
San Mateo,06081,CA,1,NA,NA,NA,NA,NA,NA,1
Sierra,06091,CA,NA,22,NA,NA,NA,1,NA,23
Sacramento,06067,CA,207,44,NA,1,1,1,NA,253
Tulare,06107,CA,40,36,5,17,1,1,NA,83
San Benito,06069,CA,NA,NA,NA,NA,NA,NA,NA,0
Curry,41015,OR,7,10,NA,8,1,1,NA,19
Clatsop,41007,OR,NA,NA,NA,NA,NA,NA,NA,0
Klamath,41035,OR,2,1,NA,NA,1,1,NA,5
Josephine,41033,OR,27,59,1,49,1,1,NA,89
Wasco,41065,OR,NA,NA,NA,NA,NA,NA,NA,0
Butte,06007,CA,84,104,3,29,1,1,NA,193
Merced,06047,CA,2,9,1,NA,NA,1,NA,13
Deschutes,41017,OR,NA,NA,NA,NA,NA,NA,NA,0
Jefferson,41031,OR,NA,NA,NA,NA,NA,NA,NA,0
Sherman,41055,OR,NA,NA,NA,NA,NA,NA,NA,0
Tuolumne,06109,CA,5,12,1,10,1,1,NA,20
Orange,06059,CA,1,2,NA,2,NA,1,NA,4
Los Angeles,06037,CA,63,5,NA,3,1,1,NA,70
Santa Cruz,06087,CA,5,2,NA,NA,NA,1,NA,8
Sonoma,06097,CA,76,51,NA,22,1,1,NA,129
Marin,06041,CA,2,NA,NA,NA,1,1,NA,4
Alameda,06001,CA,5,2,NA,1,1,1,NA,9
Alpine,06003,CA,NA,NA,NA,NA,NA,NA,NA,0
Placer,06061,CA,35,11,NA,10,NA,1,NA,47
Nevada,06057,CA,13,1,NA,NA,1,1,NA,16
Multnomah,41051,OR,NA,NA,NA,NA,NA,NA,NA,0
Gilliam,41021,OR,NA,NA,NA,NA,NA,NA,NA,0
Yolo,06113,CA,43,72,20,9,1,1,NA,137
Fresno,06019,CA,4,16,NA,4,1,1,NA,22
Trinity,06105,CA,11,40,2,4,1,1,NA,55
Shasta,06089,CA,69,43,8,20,1,1,NA,122
Yuba,06115,CA,2,6,NA,1,NA,1,NA,9
Colusa,06011,CA,5,9,NA,NA,1,1,NA,16
Malheur,41045,OR,NA,NA,NA,NA,NA,NA,NA,0
Lane,41039,OR,NA,NA,NA,NA,NA,NA,NA,0
