NAME,GEOID,STUSPS,O,H,G,pre1970,USDA Plants,BONAP,Nature Serve,anyRecord
Houston,01069,AL,NA,1,NA,NA,NA,1,NA,2
Choctaw,01023,AL,NA,NA,NA,NA,NA,1,NA,1
Russell,01113,AL,NA,2,NA,NA,NA,NA,NA,2
Jackson,01071,AL,NA,NA,NA,NA,1,1,NA,2
Madison,01089,AL,NA,NA,NA,NA,NA,NA,NA,0
Chicot,05017,AR,NA,1,NA,NA,NA,1,NA,2
Randolph,05121,AR,1,NA,NA,NA,1,1,NA,3
Lafayette,05073,AR,NA,5,NA,2,1,1,NA,7
Hempstead,05057,AR,2,NA,NA,NA,1,1,NA,4
Bradford,12007,FL,NA,NA,NA,NA,NA,NA,NA,0
Brevard,12009,FL,NA,NA,NA,NA,1,1,NA,2
Walton,12131,FL,NA,NA,NA,NA,NA,1,NA,1
Hernando,12053,FL,1,NA,NA,NA,1,1,NA,3
Hamilton,12047,FL,1,1,NA,NA,NA,1,NA,3
Jefferson,12065,FL,1,NA,NA,NA,1,1,NA,3
Duval,12031,FL,1,2,NA,2,NA,1,NA,4
Elbert,13105,GA,NA,NA,NA,NA,1,1,NA,2
Murray,13213,GA,NA,NA,NA,NA,NA,NA,NA,0
Livingston,17105,IL,NA,NA,NA,NA,NA,NA,NA,0
Rock Island,17161,IL,NA,NA,NA,NA,NA,NA,NA,0
Lake,18089,IN,NA,NA,NA,NA,NA,NA,NA,0
Ringgold,19159,IA,NA,NA,NA,NA,NA,NA,NA,0
Scott,19163,IA,NA,NA,NA,NA,NA,NA,NA,0
Mason,17125,IL,2,13,5,NA,1,1,NA,22
Labette,20099,KS,NA,2,NA,NA,1,1,NA,4
Whitley,21235,KY,NA,NA,NA,NA,NA,NA,NA,0
Lee,48287,TX,1,NA,NA,NA,NA,NA,NA,1
Talladega,01121,AL,NA,NA,NA,NA,NA,1,NA,1
Letcher,21133,KY,NA,1,NA,1,1,1,NA,3
Cuyahoga,39035,OH,NA,NA,NA,NA,NA,1,NA,1
Hamilton,39061,OH,1,NA,NA,NA,NA,1,NA,2
Plaquemines,22075,LA,NA,NA,NA,NA,1,1,NA,2
De Soto,22031,LA,1,NA,NA,NA,1,1,NA,3
Union,22111,LA,NA,2,NA,NA,1,1,NA,4
Vernon,22115,LA,NA,NA,NA,NA,1,1,NA,2
Macon,01087,AL,NA,NA,NA,NA,NA,1,NA,1
Crenshaw,01041,AL,NA,3,NA,NA,NA,1,NA,4
Baltimore,24005,MD,NA,NA,NA,NA,NA,1,NA,1
Dorchester,24019,MD,NA,1,NA,NA,NA,NA,NA,1
Charles,24017,MD,1,NA,NA,NA,NA,NA,NA,1
Cecil,24015,MD,NA,NA,NA,NA,NA,NA,NA,0
Adams,28001,MS,1,6,NA,NA,1,1,NA,9
Lowndes,28087,MS,NA,2,NA,NA,NA,1,NA,3
Tunica,28143,MS,NA,2,NA,NA,1,1,NA,4
Tippah,28139,MS,NA,1,NA,NA,1,1,NA,3
Jefferson,29099,MO,NA,3,NA,NA,1,1,NA,5
Columbus,37047,NC,NA,NA,NA,NA,NA,1,NA,1
Cherokee,37039,NC,NA,NA,NA,NA,1,1,NA,2
Polk,37149,NC,NA,NA,NA,NA,1,1,NA,2
Ashe,37009,NC,NA,NA,NA,NA,NA,1,NA,1
Dare,37055,NC,NA,5,NA,NA,NA,1,NA,6
Hertford,37091,NC,NA,NA,NA,NA,1,1,NA,2
Washington,39167,OH,NA,NA,NA,NA,NA,1,NA,1
Marshall,40095,OK,NA,2,NA,1,1,1,NA,4
Bowie,48037,TX,NA,1,NA,NA,NA,1,NA,2
Lancaster,42071,PA,NA,NA,NA,NA,NA,NA,NA,0
Northampton,42095,PA,NA,NA,NA,NA,NA,NA,NA,0
Beaufort,45013,SC,NA,1,NA,1,NA,1,NA,2
Horry,45051,SC,NA,NA,NA,NA,1,1,NA,2
York,45091,SC,NA,2,NA,NA,1,1,NA,4
Shelby,47157,TN,1,NA,NA,NA,1,1,NA,3
Sumner,47165,TN,NA,NA,NA,NA,NA,NA,NA,0
Carter,47019,TN,NA,NA,NA,NA,NA,1,NA,1
Monroe,47123,TN,NA,NA,NA,NA,1,1,NA,2
Campbell,47013,TN,NA,NA,NA,NA,NA,1,NA,1
Kleberg,48273,TX,NA,NA,NA,NA,NA,NA,NA,0
Hudspeth,48229,TX,NA,NA,NA,NA,NA,1,NA,1
Shelby,48419,TX,NA,3,NA,NA,NA,1,NA,4
Loving,48301,TX,NA,1,NA,NA,NA,NA,NA,1
Northumberland,51133,VA,NA,NA,NA,NA,NA,NA,NA,0
Westmoreland,51193,VA,NA,NA,NA,NA,NA,NA,NA,0
Gloucester,51073,VA,NA,NA,NA,NA,NA,NA,NA,0
Loudoun,51107,VA,1,NA,NA,NA,NA,1,NA,2
Pittsylvania,51143,VA,NA,NA,NA,NA,NA,1,NA,1
Halifax,51083,VA,NA,NA,NA,NA,NA,1,NA,1
McDowell,54047,WV,NA,NA,NA,NA,NA,NA,NA,0
Wayne,54099,WV,NA,NA,NA,NA,1,1,NA,2
Jefferson,54037,WV,NA,NA,NA,NA,NA,NA,NA,0
Berkeley,54003,WV,NA,NA,NA,NA,NA,1,NA,1
Faulkner,05045,AR,4,1,NA,1,1,1,NA,7
Bradley,05011,AR,NA,1,NA,NA,1,1,NA,3
Lonoke,05085,AR,1,NA,NA,NA,NA,NA,NA,1
Nevada,05099,AR,NA,NA,NA,NA,1,1,NA,2
Cross,05037,AR,NA,NA,NA,NA,1,1,NA,2
Seminole,12117,FL,2,NA,NA,NA,1,1,NA,4
Gilchrist,12041,FL,NA,NA,NA,NA,NA,1,NA,1
Calhoun,12013,FL,NA,NA,NA,NA,1,1,NA,2
Pierce,13229,GA,NA,NA,NA,NA,NA,NA,NA,0
Sumter,13261,GA,NA,NA,NA,NA,NA,NA,NA,0
Bibb,13021,GA,NA,NA,NA,NA,NA,1,NA,1
Henry,13151,GA,NA,NA,NA,NA,1,1,NA,2
Madison,13195,GA,NA,NA,NA,NA,NA,NA,NA,0
Taliaferro,13265,GA,NA,NA,NA,NA,1,1,NA,2
Tattnall,13267,GA,NA,NA,NA,NA,NA,1,NA,1
Putnam,13237,GA,NA,NA,NA,NA,NA,NA,NA,0
Oconee,13219,GA,NA,NA,NA,NA,1,1,NA,2
Mitchell,13205,GA,NA,NA,NA,NA,NA,NA,NA,0
Miller,13201,GA,NA,NA,NA,NA,NA,1,NA,1
