NAME,GEOID,STUSPS,O,H,G,pre1970,USDA Plants,BONAP,Nature Serve,anyRecord
San Luis Obispo,06079,CA,NA,NA,NA,NA,NA,NA,NA,0
San Mateo,06081,CA,NA,1,NA,NA,NA,NA,NA,1
Sierra,06091,CA,NA,17,NA,NA,NA,NA,NA,17
Sacramento,06067,CA,NA,NA,NA,NA,NA,NA,NA,0
Tulare,06107,CA,NA,NA,NA,NA,NA,NA,NA,0
San Benito,06069,CA,NA,NA,NA,NA,NA,NA,NA,0
Butte,06007,CA,NA,NA,NA,NA,NA,NA,NA,0
Merced,06047,CA,NA,NA,NA,NA,NA,NA,NA,0
Tuolumne,06109,CA,NA,NA,NA,NA,NA,NA,NA,0
Orange,06059,CA,273,45,NA,10,1,1,NA,320
Los Angeles,06037,CA,113,127,2,48,1,1,NA,244
Santa Cruz,06087,CA,NA,1,NA,NA,NA,NA,NA,1
Sonoma,06097,CA,NA,1,NA,NA,NA,NA,NA,1
Marin,06041,CA,NA,NA,NA,NA,NA,NA,NA,0
Alameda,06001,CA,NA,1,NA,NA,NA,NA,NA,1
Alpine,06003,CA,NA,NA,NA,NA,NA,NA,NA,0
Placer,06061,CA,NA,NA,NA,NA,NA,NA,NA,0
Nevada,06057,CA,NA,NA,NA,NA,NA,NA,NA,0
Yolo,06113,CA,NA,17,1,NA,NA,NA,NA,18
Fresno,06019,CA,NA,NA,NA,NA,NA,NA,NA,0
Trinity,06105,CA,NA,1,NA,NA,NA,NA,NA,1
Shasta,06089,CA,NA,NA,NA,NA,NA,NA,NA,0
Yuba,06115,CA,NA,NA,NA,NA,NA,NA,NA,0
Colusa,06011,CA,NA,NA,NA,NA,NA,NA,NA,0
Riverside,06065,CA,165,108,1,32,1,1,NA,276
Contra Costa,06013,CA,NA,NA,NA,NA,NA,NA,NA,0
Humboldt,06023,CA,NA,NA,NA,NA,NA,NA,NA,0
San Diego,06073,CA,347,284,11,48,1,1,NA,644
Monterey,06053,CA,NA,NA,NA,NA,NA,NA,NA,0
Mendocino,06045,CA,NA,NA,NA,NA,NA,NA,NA,0
El Dorado,06017,CA,NA,NA,NA,NA,NA,NA,NA,0
Siskiyou,06093,CA,NA,NA,NA,NA,NA,NA,NA,0
Madera,06039,CA,NA,NA,NA,NA,NA,NA,NA,0
Lake,06033,CA,NA,7,NA,NA,NA,NA,NA,7
Ventura,06111,CA,12,21,NA,5,NA,1,NA,34
Sutter,06101,CA,NA,NA,NA,NA,NA,NA,NA,0
Glenn,06021,CA,NA,NA,NA,NA,NA,NA,NA,0
Mariposa,06043,CA,NA,NA,NA,NA,NA,NA,NA,0
San Bernardino,06071,CA,30,148,1,23,1,1,NA,181
Stanislaus,06099,CA,NA,NA,NA,NA,NA,NA,NA,0
Imperial,06025,CA,NA,NA,NA,NA,NA,1,NA,1
Santa Clara,06085,CA,NA,NA,NA,NA,NA,NA,NA,0
Calaveras,06009,CA,NA,1,NA,NA,NA,NA,NA,1
Tehama,06103,CA,NA,NA,NA,NA,NA,NA,NA,0
Santa Barbara,06083,CA,NA,23,NA,12,1,1,NA,25
Mono,06051,CA,NA,NA,NA,NA,NA,NA,NA,0
Del Norte,06015,CA,NA,NA,NA,NA,NA,NA,NA,0
Napa,06055,CA,NA,NA,NA,NA,NA,NA,NA,0
Solano,06095,CA,NA,NA,NA,NA,NA,NA,NA,0
Modoc,06049,CA,NA,NA,NA,NA,NA,NA,NA,0
San Joaquin,06077,CA,NA,3,NA,NA,NA,NA,NA,3
Inyo,06027,CA,2,55,12,18,1,1,NA,71
Plumas,06063,CA,NA,NA,NA,NA,NA,NA,NA,0
Amador,06005,CA,NA,NA,NA,NA,NA,NA,NA,0
San Francisco,06075,CA,NA,NA,NA,NA,NA,NA,NA,0
Kings,06031,CA,NA,NA,NA,NA,NA,NA,NA,0
Lassen,06035,CA,NA,NA,NA,NA,NA,NA,NA,0
Kern,06029,CA,7,49,8,6,1,1,NA,66
