NAME,GEOID,STUSPS,O,H,G,pre1970,USDA Plants,BONAP,Nature Serve,anyRecord
Chicot,05017,AR,NA,NA,NA,NA,NA,NA,NA,0
Randolph,05121,AR,NA,NA,NA,NA,NA,NA,NA,0
Lafayette,05073,AR,NA,NA,NA,NA,NA,NA,NA,0
Hempstead,05057,AR,NA,NA,NA,NA,NA,NA,NA,0
Elbert,13105,GA,NA,NA,NA,NA,NA,NA,NA,0
Murray,13213,GA,NA,NA,NA,NA,NA,NA,NA,0
Lee,48287,TX,NA,NA,NA,NA,NA,NA,NA,0
Plaquemines,22075,LA,NA,NA,NA,NA,NA,NA,NA,0
De Soto,22031,LA,NA,NA,NA,NA,NA,NA,NA,0
Union,22111,LA,NA,NA,NA,NA,NA,NA,NA,0
Vernon,22115,LA,1,NA,NA,NA,NA,NA,NA,1
Adams,28001,MS,NA,NA,NA,NA,NA,NA,NA,0
Lowndes,28087,MS,NA,NA,NA,NA,NA,NA,NA,0
Tunica,28143,MS,NA,NA,NA,NA,NA,NA,NA,0
Tippah,28139,MS,NA,NA,NA,NA,NA,NA,NA,0
Marshall,40095,OK,NA,NA,NA,NA,NA,NA,NA,0
Bowie,48037,TX,NA,NA,NA,NA,NA,NA,NA,0
Kleberg,48273,TX,NA,NA,NA,NA,NA,NA,NA,0
Hudspeth,48229,TX,NA,NA,NA,NA,NA,NA,NA,0
Shelby,48419,TX,NA,NA,NA,NA,NA,NA,NA,0
Loving,48301,TX,NA,NA,NA,NA,NA,NA,NA,0
Faulkner,05045,AR,NA,NA,NA,NA,NA,NA,NA,0
Bradley,05011,AR,NA,NA,NA,NA,NA,NA,NA,0
Lonoke,05085,AR,NA,NA,NA,NA,NA,NA,NA,0
Nevada,05099,AR,NA,1,NA,NA,NA,NA,NA,1
Cross,05037,AR,NA,NA,NA,NA,NA,NA,NA,0
Pierce,13229,GA,NA,NA,NA,NA,NA,NA,NA,0
Sumter,13261,GA,NA,NA,NA,NA,NA,NA,NA,0
Bibb,13021,GA,NA,NA,NA,NA,NA,NA,NA,0
Henry,13151,GA,NA,NA,NA,NA,NA,NA,NA,0
Madison,13195,GA,NA,NA,NA,NA,NA,NA,NA,0
Taliaferro,13265,GA,NA,NA,NA,NA,NA,NA,NA,0
Tattnall,13267,GA,NA,NA,NA,NA,NA,NA,NA,0
Putnam,13237,GA,NA,NA,NA,NA,NA,NA,NA,0
Oconee,13219,GA,NA,NA,NA,NA,NA,NA,NA,0
Mitchell,13205,GA,NA,NA,NA,NA,NA,NA,NA,0
Miller,13201,GA,NA,NA,NA,NA,NA,NA,NA,0
Acadia,22001,LA,NA,NA,NA,NA,NA,NA,NA,0
Orleans,22071,LA,NA,NA,NA,NA,NA,NA,NA,0
St. Tammany,22103,LA,NA,NA,NA,NA,NA,NA,NA,0
Morehouse,22067,LA,NA,NA,NA,NA,NA,NA,NA,0
Red River,22081,LA,NA,NA,NA,NA,NA,NA,NA,0
Evangeline,22039,LA,NA,NA,NA,NA,NA,NA,NA,0
Grant,22043,LA,NA,NA,NA,NA,NA,NA,NA,0
Richland,22083,LA,NA,NA,NA,NA,NA,NA,NA,0
Yazoo,28163,MS,NA,NA,NA,NA,NA,NA,NA,0
Madison,28089,MS,NA,NA,NA,NA,NA,NA,NA,0
Newton,28101,MS,NA,NA,NA,NA,NA,NA,NA,0
Wagoner,40145,OK,NA,NA,NA,NA,NA,NA,NA,0
Seminole,40133,OK,NA,NA,NA,NA,NA,NA,NA,0
Montgomery,48339,TX,1,NA,NA,NA,NA,NA,NA,1
Bexar,48029,TX,NA,NA,NA,NA,NA,NA,NA,0
Jefferson,48245,TX,NA,NA,NA,NA,NA,NA,NA,0
Tyler,48457,TX,NA,1,NA,NA,NA,NA,NA,1
Fort Bend,48157,TX,NA,NA,NA,NA,NA,NA,NA,0
Ellis,48139,TX,NA,NA,NA,NA,NA,NA,NA,0
Wood,48499,TX,2,NA,NA,NA,NA,NA,NA,2
Brazos,48041,TX,NA,1,NA,NA,NA,NA,NA,1
Upshur,48459,TX,NA,NA,NA,NA,NA,NA,NA,0
Morris,48343,TX,NA,NA,NA,NA,NA,NA,NA,0
Roberts,48393,TX,NA,NA,NA,NA,NA,NA,NA,0
Leon,48289,TX,NA,1,NA,NA,NA,NA,NA,1
Navarro,48349,TX,NA,NA,NA,NA,NA,NA,NA,0
Grimes,48185,TX,1,NA,NA,NA,NA,NA,NA,1
Van Zandt,48467,TX,1,NA,NA,NA,NA,NA,NA,1
Dickens,48125,TX,NA,NA,NA,NA,NA,NA,NA,0
Crockett,48105,TX,NA,NA,NA,NA,NA,NA,NA,0
Scurry,48415,TX,NA,NA,NA,NA,NA,NA,NA,0
Rains,48379,TX,NA,1,NA,NA,NA,NA,NA,1
Kenedy,48261,TX,NA,NA,NA,NA,NA,NA,NA,0
Chatham,13051,GA,NA,NA,NA,NA,NA,NA,NA,0
Lowndes,13185,GA,NA,NA,NA,NA,NA,NA,NA,0
Brooks,13027,GA,NA,NA,NA,NA,NA,NA,NA,0
Charlton,13049,GA,NA,NA,NA,NA,NA,NA,NA,0
Richmond,13245,GA,NA,NA,NA,NA,NA,NA,NA,0
Rabun,13241,GA,NA,NA,NA,NA,NA,NA,NA,0
Houston,13153,GA,NA,NA,NA,NA,NA,NA,NA,0
