NAME,GEOID,STUSPS,O,H,G,pre1970,USDA Plants,BONAP,Nature Serve,anyRecord
Lee,48287,TX,NA,NA,NA,NA,NA,NA,NA,0
Bowie,48037,TX,NA,NA,NA,NA,NA,NA,NA,0
Kleberg,48273,TX,NA,NA,NA,NA,NA,NA,NA,0
Hudspeth,48229,TX,NA,NA,NA,NA,NA,NA,NA,0
Shelby,48419,TX,NA,NA,NA,NA,NA,NA,NA,0
Loving,48301,TX,NA,NA,NA,NA,NA,NA,NA,0
Montgomery,48339,TX,NA,NA,NA,NA,NA,NA,NA,0
Bexar,48029,TX,80,5,NA,1,1,1,NA,87
Jefferson,48245,TX,NA,NA,NA,NA,NA,NA,NA,0
Tyler,48457,TX,NA,NA,NA,NA,NA,NA,NA,0
Fort Bend,48157,TX,NA,NA,NA,NA,NA,NA,NA,0
Ellis,48139,TX,NA,NA,NA,NA,NA,NA,NA,0
Wood,48499,TX,NA,NA,NA,NA,NA,NA,NA,0
Brazos,48041,TX,NA,NA,NA,NA,NA,NA,NA,0
Upshur,48459,TX,NA,NA,NA,NA,NA,NA,NA,0
Morris,48343,TX,NA,NA,NA,NA,NA,NA,NA,0
Roberts,48393,TX,NA,NA,NA,NA,NA,NA,NA,0
Leon,48289,TX,NA,1,NA,NA,NA,NA,NA,1
Navarro,48349,TX,NA,NA,NA,NA,NA,NA,NA,0
Grimes,48185,TX,NA,NA,NA,NA,NA,NA,NA,0
Van Zandt,48467,TX,NA,NA,NA,NA,NA,NA,NA,0
Dickens,48125,TX,NA,NA,NA,NA,NA,NA,NA,0
Crockett,48105,TX,NA,NA,NA,NA,NA,NA,NA,0
Scurry,48415,TX,NA,NA,NA,NA,NA,NA,NA,0
Rains,48379,TX,NA,NA,NA,NA,NA,NA,NA,0
Kenedy,48261,TX,NA,NA,NA,NA,NA,NA,NA,0
Henderson,48213,TX,NA,NA,1,NA,NA,NA,NA,1
Nueces,48355,TX,NA,NA,NA,NA,NA,NA,NA,0
Starr,48427,TX,NA,NA,NA,NA,NA,NA,NA,0
San Patricio,48409,TX,NA,NA,NA,NA,NA,NA,NA,0
Brazoria,48039,TX,NA,NA,NA,NA,NA,NA,NA,0
Terrell,48443,TX,NA,NA,NA,NA,NA,NA,NA,0
Hemphill,48211,TX,NA,NA,NA,NA,NA,NA,NA,0
Cass,48067,TX,NA,NA,NA,NA,NA,NA,NA,0
Red River,48387,TX,NA,NA,NA,NA,NA,NA,NA,0
Hockley,48219,TX,NA,NA,NA,NA,NA,NA,NA,0
Dimmit,48127,TX,NA,NA,NA,NA,NA,NA,NA,0
Walker,48471,TX,NA,NA,NA,NA,NA,NA,NA,0
Colorado,48089,TX,NA,NA,NA,NA,NA,NA,NA,0
Duval,48131,TX,NA,NA,NA,NA,NA,NA,NA,0
Ward,48475,TX,NA,NA,NA,NA,NA,NA,NA,0
Houston,48225,TX,NA,NA,NA,NA,NA,NA,NA,0
Nacogdoches,48347,TX,NA,NA,NA,NA,NA,NA,NA,0
Floyd,48153,TX,NA,NA,NA,NA,NA,NA,NA,0
Victoria,48469,TX,NA,NA,NA,NA,NA,NA,NA,0
Hopkins,48223,TX,NA,NA,NA,NA,NA,NA,NA,0
Bee,48025,TX,NA,NA,NA,NA,NA,NA,NA,0
Delta,48119,TX,NA,NA,NA,NA,NA,NA,NA,0
Trinity,48455,TX,NA,NA,NA,NA,NA,NA,NA,0
Austin,48015,TX,NA,3,NA,NA,NA,NA,NA,3
Fisher,48151,TX,NA,NA,NA,NA,NA,NA,NA,0
San Jacinto,48407,TX,NA,NA,NA,NA,NA,NA,NA,0
