NAME,GEOID,STUSPS,O,H,G,pre1970,USDA Plants,BONAP,Nature Serve,anyRecord
Houston,01069,AL,NA,NA,NA,NA,NA,NA,NA,0
Choctaw,01023,AL,NA,NA,NA,NA,NA,NA,NA,0
Russell,01113,AL,NA,NA,NA,NA,NA,NA,NA,0
Jackson,01071,AL,NA,NA,NA,NA,NA,NA,NA,0
Madison,01089,AL,NA,NA,NA,NA,NA,NA,NA,0
Lee,48287,TX,51,5,NA,NA,NA,1,NA,57
Talladega,01121,AL,NA,NA,NA,NA,NA,NA,NA,0
Plaquemines,22075,LA,NA,NA,NA,NA,NA,NA,NA,0
De Soto,22031,LA,NA,NA,NA,NA,NA,NA,NA,0
Union,22111,LA,NA,NA,NA,NA,NA,NA,NA,0
Vernon,22115,LA,NA,NA,NA,NA,NA,NA,NA,0
Macon,01087,AL,NA,NA,NA,NA,NA,NA,NA,0
Crenshaw,01041,AL,NA,NA,NA,NA,NA,NA,NA,0
Adams,28001,MS,NA,NA,NA,NA,NA,NA,NA,0
Lowndes,28087,MS,NA,NA,NA,NA,NA,NA,NA,0
Tunica,28143,MS,NA,NA,NA,NA,NA,NA,NA,0
Tippah,28139,MS,NA,NA,NA,NA,NA,NA,NA,0
Marshall,40095,OK,1,2,NA,NA,NA,1,NA,4
Bowie,48037,TX,NA,NA,NA,NA,NA,NA,NA,0
Kleberg,48273,TX,NA,1,NA,NA,NA,NA,NA,1
Hudspeth,48229,TX,NA,NA,NA,NA,NA,NA,NA,0
Shelby,48419,TX,NA,NA,NA,NA,NA,NA,NA,0
Loving,48301,TX,NA,NA,NA,NA,NA,NA,NA,0
Acadia,22001,LA,NA,NA,NA,NA,NA,NA,NA,0
Orleans,22071,LA,NA,1,NA,NA,NA,NA,NA,1
St. Tammany,22103,LA,NA,NA,NA,NA,NA,NA,NA,0
Morehouse,22067,LA,NA,NA,NA,NA,NA,NA,NA,0
Red River,22081,LA,NA,NA,NA,NA,1,1,NA,2
Evangeline,22039,LA,NA,NA,NA,NA,NA,NA,NA,0
Grant,22043,LA,NA,NA,NA,NA,NA,NA,NA,0
Richland,22083,LA,NA,NA,NA,NA,NA,NA,NA,0
Yazoo,28163,MS,NA,NA,NA,NA,NA,NA,NA,0
Madison,28089,MS,NA,NA,NA,NA,NA,NA,NA,0
Newton,28101,MS,NA,NA,NA,NA,NA,NA,NA,0
Wagoner,40145,OK,NA,NA,NA,NA,NA,NA,NA,0
Seminole,40133,OK,NA,NA,NA,NA,NA,NA,NA,0
Montgomery,48339,TX,44,1,NA,NA,NA,1,NA,46
Bexar,48029,TX,420,10,NA,2,NA,1,NA,431
Jefferson,48245,TX,6,1,NA,NA,NA,1,NA,8
Tyler,48457,TX,NA,1,NA,NA,NA,NA,NA,1
Fort Bend,48157,TX,166,1,NA,NA,1,1,NA,169
Ellis,48139,TX,60,3,NA,NA,1,1,NA,65
Wood,48499,TX,2,NA,NA,NA,NA,NA,NA,2
Brazos,48041,TX,156,18,NA,4,1,1,NA,176
Upshur,48459,TX,NA,NA,NA,NA,NA,NA,NA,0
Morris,48343,TX,1,NA,NA,NA,NA,NA,NA,1
