NAME,GEOID,STUSPS,O,H,G,pre1970,USDA Plants,BONAP,Nature Serve,anyRecord
Houston,01069,AL,NA,NA,NA,NA,NA,NA,NA,0
Choctaw,01023,AL,NA,1,NA,NA,1,1,NA,3
Russell,01113,AL,NA,NA,NA,NA,NA,NA,NA,0
Jackson,01071,AL,NA,1,NA,NA,NA,1,NA,2
Madison,01089,AL,NA,NA,NA,NA,NA,NA,NA,0
Chicot,05017,AR,NA,NA,NA,NA,1,1,NA,2
Randolph,05121,AR,NA,1,NA,NA,NA,NA,NA,1
Lafayette,05073,AR,NA,1,NA,NA,NA,1,NA,2
Hempstead,05057,AR,NA,NA,NA,NA,1,1,NA,2
Bradford,12007,FL,NA,NA,NA,NA,NA,NA,NA,0
Brevard,12009,FL,NA,NA,NA,NA,NA,NA,NA,0
Walton,12131,FL,NA,NA,NA,NA,NA,NA,NA,0
Hernando,12053,FL,NA,NA,NA,NA,NA,NA,NA,0
Hamilton,12047,FL,NA,NA,NA,NA,NA,NA,NA,0
Jefferson,12065,FL,NA,NA,NA,NA,NA,NA,NA,0
Duval,12031,FL,NA,NA,NA,NA,NA,NA,NA,0
Elbert,13105,GA,NA,NA,NA,NA,NA,NA,NA,0
Murray,13213,GA,NA,NA,NA,NA,NA,NA,NA,0
Livingston,17105,IL,NA,NA,NA,NA,NA,NA,NA,0
Rock Island,17161,IL,NA,NA,NA,NA,NA,NA,NA,0
Lake,18089,IN,NA,2,NA,NA,NA,NA,NA,2
Mason,17125,IL,NA,NA,NA,NA,NA,NA,NA,0
Whitley,21235,KY,NA,NA,NA,NA,NA,NA,NA,0
Lee,48287,TX,NA,NA,NA,NA,NA,NA,NA,0
Talladega,01121,AL,NA,1,NA,1,NA,NA,NA,1
Letcher,21133,KY,NA,NA,NA,NA,NA,NA,NA,0
Plaquemines,22075,LA,NA,NA,NA,NA,NA,NA,NA,0
De Soto,22031,LA,NA,NA,NA,NA,1,1,NA,2
Union,22111,LA,NA,6,NA,2,1,1,NA,8
Vernon,22115,LA,NA,NA,NA,NA,NA,NA,NA,0
Macon,01087,AL,NA,NA,NA,NA,NA,NA,NA,0
Crenshaw,01041,AL,NA,NA,NA,NA,NA,NA,NA,0
Adams,28001,MS,1,NA,NA,NA,NA,NA,NA,1
Lowndes,28087,MS,NA,NA,NA,NA,NA,NA,NA,0
Tunica,28143,MS,NA,2,NA,1,1,1,NA,4
Tippah,28139,MS,NA,NA,NA,NA,NA,NA,NA,0
Jefferson,29099,MO,NA,NA,NA,NA,1,1,NA,2
Marshall,40095,OK,NA,NA,NA,NA,NA,NA,NA,0
Bowie,48037,TX,NA,1,NA,NA,NA,NA,NA,1
Shelby,47157,TN,NA,NA,NA,NA,1,1,NA,2
Sumner,47165,TN,NA,NA,NA,NA,NA,NA,NA,0
Carter,47019,TN,NA,NA,NA,NA,NA,NA,NA,0
Monroe,47123,TN,NA,NA,NA,NA,NA,NA,NA,0
Campbell,47013,TN,NA,NA,NA,NA,NA,NA,NA,0
Kleberg,48273,TX,NA,NA,NA,NA,NA,NA,NA,0
Hudspeth,48229,TX,NA,NA,NA,NA,NA,NA,NA,0
Shelby,48419,TX,NA,NA,NA,NA,NA,NA,NA,0
Loving,48301,TX,NA,NA,NA,NA,NA,NA,NA,0
Faulkner,05045,AR,1,5,NA,NA,1,1,NA,8
Bradley,05011,AR,NA,NA,NA,NA,1,1,NA,2
Lonoke,05085,AR,NA,NA,NA,NA,1,1,NA,2
Nevada,05099,AR,NA,NA,NA,NA,NA,NA,NA,0
Cross,05037,AR,NA,NA,NA,NA,NA,NA,NA,0
Seminole,12117,FL,NA,NA,NA,NA,NA,NA,NA,0
Gilchrist,12041,FL,NA,NA,NA,NA,NA,NA,NA,0
Calhoun,12013,FL,NA,5,NA,NA,1,1,NA,7
Pierce,13229,GA,NA,NA,NA,NA,NA,NA,NA,0
Sumter,13261,GA,NA,NA,NA,NA,NA,NA,NA,0
Bibb,13021,GA,NA,NA,NA,NA,NA,NA,NA,0
Henry,13151,GA,NA,NA,NA,NA,NA,NA,NA,0
Madison,13195,GA,NA,NA,NA,NA,NA,NA,NA,0
Taliaferro,13265,GA,NA,NA,NA,NA,NA,NA,NA,0
Tattnall,13267,GA,NA,NA,NA,NA,NA,NA,NA,0
Putnam,13237,GA,NA,NA,NA,NA,NA,NA,NA,0
Oconee,13219,GA,NA,NA,NA,NA,NA,NA,NA,0
Mitchell,13205,GA,NA,NA,NA,NA,NA,NA,NA,0
Miller,13201,GA,NA,NA,NA,NA,NA,NA,NA,0
Edwards,17047,IL,NA,NA,NA,NA,NA,NA,NA,0
Clinton,17027,IL,NA,NA,NA,NA,NA,NA,NA,0
Fayette,18041,IN,NA,NA,NA,NA,NA,NA,NA,0
Huntington,18069,IN,NA,NA,NA,NA,NA,NA,NA,0
Larue,21123,KY,NA,NA,NA,NA,NA,NA,NA,0
Johnson,21115,KY,NA,NA,NA,NA,NA,NA,NA,0
Jackson,21109,KY,NA,NA,NA,NA,NA,NA,NA,0
Morgan,21175,KY,NA,NA,NA,NA,NA,NA,NA,0
Bath,21011,KY,NA,NA,NA,NA,NA,NA,NA,0
Wayne,21231,KY,NA,NA,NA,NA,NA,NA,NA,0
Edmonson,21061,KY,NA,NA,NA,NA,NA,NA,NA,0
Menifee,21165,KY,NA,NA,NA,NA,NA,NA,NA,0
Acadia,22001,LA,NA,NA,NA,NA,NA,NA,NA,0
Orleans,22071,LA,NA,NA,NA,NA,NA,NA,NA,0
St. Tammany,22103,LA,NA,NA,NA,NA,1,1,NA,2
Morehouse,22067,LA,NA,2,NA,NA,1,1,NA,4
Red River,22081,LA,NA,NA,NA,NA,1,1,NA,2
Evangeline,22039,LA,NA,NA,NA,NA,1,1,NA,2
Grant,22043,LA,NA,1,NA,NA,1,1,NA,3
Richland,22083,LA,NA,NA,NA,NA,1,1,NA,2
Yazoo,28163,MS,NA,2,NA,NA,NA,NA,NA,2
Madison,28089,MS,NA,NA,NA,NA,NA,NA,NA,0
Newton,28101,MS,NA,NA,NA,NA,NA,NA,NA,0
Carroll,29033,MO,NA,NA,NA,NA,NA,NA,NA,0
Cedar,29039,MO,NA,NA,NA,NA,NA,1,NA,1
Schuyler,29197,MO,NA,NA,NA,NA,NA,NA,NA,0
Wagoner,40145,OK,NA,NA,NA,NA,NA,NA,NA,0
Seminole,40133,OK,NA,NA,NA,NA,NA,NA,NA,0
Anderson,47001,TN,NA,NA,NA,NA,NA,NA,NA,0
Wilson,47189,TN,NA,NA,NA,NA,NA,NA,NA,0
Perry,47135,TN,NA,NA,NA,NA,NA,NA,NA,0
Dyer,47045,TN,NA,NA,NA,NA,1,1,NA,2
Cocke,47029,TN,NA,NA,NA,NA,NA,NA,NA,0
Fentress,47049,TN,NA,NA,NA,NA,NA,NA,NA,0
Humphreys,47085,TN,NA,NA,NA,NA,NA,1,NA,1
White,47185,TN,NA,NA,NA,NA,NA,NA,NA,0
Moore,47127,TN,NA,NA,NA,NA,NA,NA,NA,0
Montgomery,48339,TX,1,NA,NA,NA,NA,NA,NA,1
Bexar,48029,TX,NA,NA,NA,NA,NA,NA,NA,0
Jefferson,48245,TX,NA,NA,NA,NA,NA,NA,NA,0
Tyler,48457,TX,NA,NA,NA,NA,NA,NA,NA,0
Fort Bend,48157,TX,NA,NA,NA,NA,NA,NA,NA,0
Ellis,48139,TX,NA,NA,NA,NA,NA,NA,NA,0
Wood,48499,TX,NA,5,NA,1,1,1,NA,7
Brazos,48041,TX,1,3,NA,NA,1,1,NA,6
Upshur,48459,TX,NA,NA,NA,NA,1,1,NA,2
Morris,48343,TX,NA,1,NA,1,NA,NA,NA,1
Roberts,48393,TX,NA,NA,NA,NA,NA,NA,NA,0
Leon,48289,TX,NA,NA,NA,NA,NA,NA,NA,0
Navarro,48349,TX,NA,NA,NA,NA,NA,1,NA,1
Grimes,48185,TX,NA,NA,NA,NA,NA,NA,NA,0
Van Zandt,48467,TX,NA,2,NA,NA,NA,NA,NA,2
Dickens,48125,TX,NA,NA,NA,NA,NA,NA,NA,0
Crockett,48105,TX,NA,NA,NA,NA,NA,NA,NA,0
Scurry,48415,TX,NA,NA,NA,NA,NA,NA,NA,0
Rains,48379,TX,NA,NA,NA,NA,NA,NA,NA,0
Kenedy,48261,TX,NA,NA,NA,NA,NA,NA,NA,0
Jefferson,01073,AL,NA,NA,NA,NA,NA,NA,NA,0
Pinellas,12103,FL,NA,NA,NA,NA,NA,NA,NA,0
Hillsborough,12057,FL,NA,NA,NA,NA,NA,NA,NA,0
Levy,12075,FL,NA,NA,NA,NA,NA,NA,NA,0
Miami-Dade,12086,FL,NA,NA,NA,NA,NA,NA,NA,0
Lee,12071,FL,NA,NA,NA,NA,NA,NA,NA,0
Santa Rosa,12113,FL,NA,NA,NA,NA,1,1,NA,2
Cullman,01043,AL,NA,NA,NA,NA,NA,NA,NA,0
Franklin,12037,FL,NA,NA,NA,NA,NA,NA,NA,0
Leon,12073,FL,NA,NA,NA,NA,NA,NA,NA,0
Chatham,13051,GA,NA,3,NA,NA,NA,1,NA,4
Lowndes,13185,GA,NA,NA,NA,NA,NA,NA,NA,0
Brooks,13027,GA,NA,NA,NA,NA,NA,NA,NA,0
Charlton,13049,GA,NA,NA,NA,NA,NA,NA,NA,0
Will,17197,IL,NA,NA,NA,NA,NA,NA,NA,0
Richmond,13245,GA,NA,NA,NA,NA,NA,NA,NA,0
Rabun,13241,GA,NA,NA,NA,NA,NA,NA,NA,0
Houston,13153,GA,NA,NA,NA,NA,NA,NA,NA,0
Colbert,01033,AL,NA,NA,NA,NA,NA,NA,NA,0
Benton,05007,AR,NA,NA,NA,NA,NA,NA,NA,0
Union,05139,AR,NA,1,NA,NA,1,1,NA,3
Ashley,05003,AR,NA,2,NA,NA,1,1,NA,4
Sevier,05133,AR,NA,NA,NA,NA,NA,1,NA,1
Sebastian,05131,AR,NA,NA,NA,NA,1,1,NA,2
Carroll,05015,AR,NA,NA,NA,NA,NA,NA,NA,0
Clay,05021,AR,NA,NA,NA,NA,1,1,NA,2
Desha,05041,AR,NA,NA,NA,NA,NA,NA,NA,0
Independence,05063,AR,NA,NA,NA,NA,NA,1,NA,1
Clark,05019,AR,NA,NA,NA,NA,1,1,NA,2
McCreary,21147,KY,NA,NA,NA,NA,NA,NA,NA,0
Monroe,01099,AL,NA,NA,NA,NA,NA,1,NA,1
Lewis,21135,KY,NA,NA,NA,NA,NA,NA,NA,0
Lafourche,22057,LA,NA,NA,NA,NA,NA,NA,NA,0
Washington,22117,LA,NA,NA,NA,NA,1,1,NA,2
Concordia,22029,LA,NA,NA,NA,NA,1,1,NA,2
East Carroll,22035,LA,NA,NA,NA,NA,1,1,NA,2
Beauregard,22011,LA,NA,2,NA,NA,NA,NA,NA,2
Wilcox,01131,AL,NA,1,NA,NA,NA,1,NA,2
Hale,01065,AL,NA,NA,NA,NA,NA,1,NA,1
Jackson,40065,OK,NA,NA,NA,NA,NA,NA,NA,0
Tillman,40141,OK,NA,NA,NA,NA,NA,NA,NA,0
Jefferson,40067,OK,NA,NA,NA,NA,NA,NA,NA,0
Choctaw,40023,OK,NA,NA,NA,NA,NA,1,NA,1
Sequoyah,40135,OK,1,NA,NA,NA,NA,NA,NA,1
