NAME,GEOID,STUSPS,O,H,G,pre1970,USDA Plants,BONAP,Nature Serve,anyRecord
Houston,01069,AL,NA,NA,NA,NA,NA,NA,NA,0
Choctaw,01023,AL,NA,NA,NA,NA,NA,NA,NA,0
Russell,01113,AL,NA,NA,NA,NA,NA,NA,NA,0
Jackson,01071,AL,NA,NA,NA,NA,NA,NA,NA,0
Madison,01089,AL,NA,NA,NA,NA,NA,NA,NA,0
Chicot,05017,AR,1,1,NA,NA,NA,1,NA,3
Randolph,05121,AR,NA,NA,NA,NA,NA,1,NA,1
Lafayette,05073,AR,NA,NA,NA,NA,NA,1,NA,1
Hempstead,05057,AR,NA,NA,NA,NA,1,1,NA,2
La Plata,08067,CO,NA,NA,NA,NA,NA,NA,NA,0
Western Connecticut,09190,CT,1,7,NA,4,NA,NA,NA,8
Livingston,17105,IL,NA,NA,NA,NA,1,1,NA,2
Rock Island,17161,IL,12,1,NA,NA,1,1,NA,15
Mahnomen,27087,MN,NA,NA,NA,NA,NA,NA,NA,0
Lake,18089,IN,5,16,NA,7,1,1,NA,23
Ringgold,19159,IA,NA,NA,NA,NA,NA,1,NA,1
Scott,19163,IA,14,4,NA,4,NA,1,NA,19
Hennepin,27053,MN,370,14,NA,9,1,1,NA,386
Mason,17125,IL,1,4,1,NA,1,1,NA,8
Bronx,36005,NY,5,1,NA,NA,1,1,NA,8
Labette,20099,KS,NA,3,NA,1,1,1,NA,5
Westchester,36119,NY,NA,1,NA,NA,1,1,NA,3
Madison,36053,NY,1,6,NA,1,1,1,NA,9
Whitley,21235,KY,NA,NA,NA,NA,NA,NA,NA,0
Providence,44007,RI,NA,NA,NA,NA,NA,NA,NA,0
Erie,36029,NY,14,1,NA,NA,1,1,NA,17
Lee,48287,TX,NA,NA,NA,NA,NA,NA,NA,0
Saratoga,36091,NY,7,4,2,NA,1,1,NA,15
Talladega,01121,AL,NA,1,NA,NA,NA,NA,NA,1
Letcher,21133,KY,NA,NA,NA,NA,NA,NA,NA,0
Cass,38017,ND,10,2,NA,2,1,1,NA,14
Cuyahoga,39035,OH,16,4,NA,NA,1,1,NA,22
Hamilton,39061,OH,6,NA,NA,NA,1,1,NA,8
Plaquemines,22075,LA,NA,NA,NA,NA,NA,NA,NA,0
De Soto,22031,LA,NA,NA,NA,NA,NA,NA,NA,0
Union,22111,LA,NA,NA,NA,NA,NA,NA,NA,0
Vernon,22115,LA,NA,NA,NA,NA,NA,NA,NA,0
Macon,01087,AL,NA,NA,NA,NA,NA,NA,NA,0
Crenshaw,01041,AL,NA,NA,NA,NA,NA,NA,NA,0
Baltimore,24005,MD,1,1,NA,NA,NA,1,NA,3
Dorchester,24019,MD,NA,NA,NA,NA,NA,NA,NA,0
Charles,24017,MD,NA,NA,NA,NA,NA,NA,NA,0
Cecil,24015,MD,NA,1,NA,NA,NA,1,NA,2
Barnstable,25001,MA,1,NA,NA,NA,NA,NA,NA,1
Middlesex,25017,MA,15,4,NA,NA,1,1,NA,21
Marquette,26103,MI,NA,1,NA,1,1,1,NA,3
Gogebic,26053,MI,7,1,NA,NA,NA,1,NA,9
Monroe,26115,MI,4,5,NA,2,1,1,NA,11
