NAME,GEOID,STUSPS,O,H,G,pre1970,USDA Plants,BONAP,Nature Serve,anyRecord
Houston,01069,AL,NA,2,NA,NA,NA,NA,NA,2
Choctaw,01023,AL,NA,NA,NA,NA,NA,NA,NA,0
Russell,01113,AL,NA,NA,NA,NA,NA,NA,NA,0
Jackson,01071,AL,NA,NA,NA,NA,NA,NA,NA,0
Madison,01089,AL,NA,NA,NA,NA,NA,NA,NA,0
Bradford,12007,FL,NA,NA,NA,NA,NA,NA,NA,0
Brevard,12009,FL,NA,4,NA,NA,NA,NA,NA,4
Walton,12131,FL,NA,1,NA,NA,NA,NA,NA,1
Hernando,12053,FL,NA,NA,NA,NA,NA,NA,NA,0
Hamilton,12047,FL,NA,NA,NA,NA,NA,NA,NA,0
Jefferson,12065,FL,NA,NA,NA,NA,NA,NA,NA,0
Duval,12031,FL,NA,14,NA,NA,NA,NA,NA,14
Elbert,13105,GA,NA,11,NA,NA,NA,NA,NA,11
Murray,13213,GA,NA,6,NA,NA,NA,NA,NA,6
Talladega,01121,AL,NA,NA,NA,NA,NA,NA,NA,0
Macon,01087,AL,NA,NA,NA,NA,NA,NA,NA,0
Crenshaw,01041,AL,NA,NA,NA,NA,NA,NA,NA,0
Seminole,12117,FL,NA,1,NA,NA,NA,NA,NA,1
Gilchrist,12041,FL,NA,3,NA,NA,NA,NA,NA,3
Calhoun,12013,FL,NA,NA,NA,NA,NA,NA,NA,0
Pierce,13229,GA,NA,4,NA,NA,NA,NA,NA,4
Sumter,13261,GA,NA,NA,NA,NA,NA,NA,NA,0
Bibb,13021,GA,NA,6,NA,NA,NA,NA,NA,6
Henry,13151,GA,NA,3,NA,NA,NA,NA,NA,3
Madison,13195,GA,NA,3,NA,NA,NA,NA,NA,3
Taliaferro,13265,GA,NA,NA,NA,NA,NA,NA,NA,0
Tattnall,13267,GA,NA,9,NA,NA,NA,NA,NA,9
Putnam,13237,GA,NA,3,NA,NA,NA,NA,NA,3
Oconee,13219,GA,NA,3,NA,NA,NA,NA,NA,3
Mitchell,13205,GA,NA,6,NA,NA,NA,NA,NA,6
Miller,13201,GA,NA,NA,NA,NA,NA,NA,NA,0
Jefferson,01073,AL,2,NA,NA,NA,NA,NA,NA,2
Pinellas,12103,FL,NA,2,NA,NA,NA,NA,NA,2
Hillsborough,12057,FL,NA,5,NA,NA,NA,NA,NA,5
Levy,12075,FL,NA,1,NA,NA,NA,NA,NA,1
Miami-Dade,12086,FL,5,5,NA,NA,NA,NA,NA,10
Lee,12071,FL,14,16,NA,1,NA,NA,NA,30
Santa Rosa,12113,FL,NA,3,NA,NA,NA,NA,NA,3
Cullman,01043,AL,NA,NA,NA,NA,NA,NA,NA,0
Franklin,12037,FL,NA,26,NA,NA,NA,NA,NA,26
Leon,12073,FL,1,2,NA,NA,NA,NA,NA,3
