NAME,GEOID,STUSPS,O,H,G,pre1970,USDA Plants,BONAP,Nature Serve,anyRecord
Bradford,12007,FL,NA,NA,NA,NA,NA,NA,NA,0
Brevard,12009,FL,NA,NA,NA,NA,NA,NA,NA,0
Walton,12131,FL,NA,NA,NA,NA,NA,NA,NA,0
Hernando,12053,FL,NA,NA,NA,NA,NA,NA,NA,0
Hamilton,12047,FL,NA,NA,NA,NA,NA,NA,NA,0
Jefferson,12065,FL,NA,NA,NA,NA,NA,NA,NA,0
Duval,12031,FL,NA,NA,NA,NA,NA,NA,NA,0
Seminole,12117,FL,NA,NA,NA,NA,NA,NA,NA,0
Gilchrist,12041,FL,NA,NA,NA,NA,NA,NA,NA,0
Calhoun,12013,FL,NA,NA,NA,NA,NA,NA,NA,0
Pinellas,12103,FL,NA,NA,NA,NA,NA,NA,NA,0
Hillsborough,12057,FL,NA,NA,NA,NA,NA,NA,NA,0
Levy,12075,FL,NA,NA,NA,NA,NA,NA,NA,0
Miami-Dade,12086,FL,NA,NA,NA,NA,NA,NA,NA,0
Lee,12071,FL,NA,NA,NA,NA,NA,NA,NA,0
Santa Rosa,12113,FL,NA,NA,NA,NA,NA,NA,NA,0
Franklin,12037,FL,NA,NA,NA,NA,NA,NA,NA,0
Leon,12073,FL,NA,NA,NA,NA,NA,NA,NA,0
Lake,12069,FL,NA,NA,NA,NA,NA,NA,NA,0
Marion,12083,FL,NA,NA,NA,NA,NA,NA,NA,0
Columbia,12023,FL,NA,NA,NA,NA,NA,NA,NA,0
Sumter,12119,FL,NA,NA,NA,NA,NA,NA,NA,0
Osceola,12097,FL,NA,NA,NA,NA,NA,NA,NA,0
Suwannee,12121,FL,NA,NA,NA,NA,NA,NA,NA,0
Union,12125,FL,NA,NA,NA,NA,NA,NA,NA,0
Taylor,12123,FL,NA,NA,NA,NA,NA,NA,NA,0
Pasco,12101,FL,NA,NA,NA,NA,NA,NA,NA,0
Escambia,12033,FL,NA,NA,NA,NA,NA,NA,NA,0
Nassau,12089,FL,NA,NA,NA,NA,NA,NA,NA,0
Polk,12105,FL,4,1,NA,NA,NA,NA,NA,5
Gulf,12045,FL,NA,NA,NA,NA,NA,NA,NA,0
Dixie,12029,FL,NA,NA,NA,NA,NA,NA,NA,0
Wakulla,12129,FL,NA,NA,NA,NA,NA,NA,NA,0
Alachua,12001,FL,NA,NA,NA,NA,NA,NA,NA,0
Orange,12095,FL,NA,NA,NA,NA,NA,NA,NA,0
Okeechobee,12093,FL,NA,NA,NA,NA,NA,NA,NA,0
Putnam,12107,FL,NA,NA,NA,NA,NA,NA,NA,0
Gadsden,12039,FL,NA,NA,NA,NA,NA,NA,NA,0
Highlands,12055,FL,2,7,NA,NA,NA,NA,NA,9
Washington,12133,FL,NA,NA,NA,NA,NA,NA,NA,0
Citrus,12017,FL,NA,NA,NA,NA,NA,NA,NA,0
Monroe,12087,FL,NA,NA,NA,NA,NA,NA,NA,0
Collier,12021,FL,NA,NA,NA,NA,NA,NA,NA,0
DeSoto,12027,FL,NA,NA,NA,NA,NA,NA,NA,0
Charlotte,12015,FL,NA,NA,NA,NA,NA,NA,NA,0
Holmes,12059,FL,NA,NA,NA,NA,NA,NA,NA,0
Madison,12079,FL,NA,NA,NA,NA,NA,NA,NA,0
Baker,12003,FL,NA,NA,NA,NA,NA,NA,NA,0
Manatee,12081,FL,NA,2,NA,NA,NA,NA,NA,2
Sarasota,12115,FL,NA,NA,NA,NA,NA,NA,NA,0
St. Lucie,12111,FL,NA,NA,NA,NA,NA,NA,NA,0
Palm Beach,12099,FL,NA,NA,NA,NA,NA,NA,NA,0
Bay,12005,FL,NA,NA,NA,NA,NA,NA,NA,0
Clay,12019,FL,NA,NA,NA,NA,NA,NA,NA,0
Lafayette,12067,FL,NA,NA,NA,NA,NA,NA,NA,0
Hardee,12049,FL,NA,NA,NA,NA,NA,NA,NA,0
Liberty,12077,FL,NA,NA,NA,NA,NA,NA,NA,0
Broward,12011,FL,NA,NA,NA,NA,NA,NA,NA,0
Volusia,12127,FL,NA,NA,NA,NA,NA,NA,NA,0
Indian River,12061,FL,NA,NA,NA,NA,NA,NA,NA,0
Okaloosa,12091,FL,NA,NA,NA,NA,NA,NA,NA,0
Hendry,12051,FL,NA,NA,NA,NA,NA,NA,NA,0
Martin,12085,FL,NA,NA,NA,NA,NA,NA,NA,0
Jackson,12063,FL,NA,3,NA,NA,NA,NA,NA,3
St. Johns,12109,FL,NA,NA,NA,NA,NA,NA,NA,0
Flagler,12035,FL,NA,NA,NA,NA,NA,NA,NA,0
Glades,12043,FL,NA,NA,NA,NA,NA,NA,NA,0
