NAME,GEOID,STUSPS,O,H,G,pre1970,USDA Plants,BONAP,Nature Serve,anyRecord
Houston,01069,AL,17,1,NA,NA,1,NA,NA,19
Choctaw,01023,AL,1,2,NA,NA,1,NA,NA,4
Russell,01113,AL,8,2,NA,NA,1,NA,NA,11
Sussex,10005,DE,6,2,NA,NA,1,NA,NA,9
Jackson,01071,AL,23,5,NA,NA,1,NA,NA,29
Madison,01089,AL,50,NA,NA,NA,1,NA,NA,51
Chicot,05017,AR,NA,1,NA,NA,1,NA,NA,2
Randolph,05121,AR,2,NA,NA,NA,NA,NA,NA,2
Lafayette,05073,AR,NA,1,NA,1,NA,NA,NA,1
Hempstead,05057,AR,1,1,NA,NA,1,NA,NA,3
Bradford,12007,FL,12,5,NA,NA,1,NA,NA,18
New Castle,10003,DE,14,NA,NA,NA,NA,NA,NA,14
Brevard,12009,FL,237,8,NA,1,1,NA,NA,246
Walton,12131,FL,84,2,NA,1,1,NA,NA,87
Hernando,12053,FL,86,2,NA,2,1,NA,NA,89
Hamilton,12047,FL,9,2,NA,NA,1,NA,NA,12
Jefferson,12065,FL,21,6,NA,NA,1,NA,NA,28
Duval,12031,FL,163,14,NA,6,1,NA,NA,178
Elbert,13105,GA,2,5,NA,NA,1,NA,NA,8
Murray,13213,GA,9,2,NA,NA,NA,NA,NA,11
Whitley,21235,KY,3,2,2,NA,1,NA,NA,8
Lee,48287,TX,NA,3,NA,1,1,NA,NA,4
Talladega,01121,AL,9,1,NA,NA,1,NA,NA,11
Letcher,21133,KY,1,NA,NA,NA,NA,NA,NA,1
Plaquemines,22075,LA,1,NA,NA,NA,NA,NA,NA,1
De Soto,22031,LA,6,1,NA,NA,1,NA,NA,8
Union,22111,LA,6,NA,NA,NA,1,NA,NA,7
Vernon,22115,LA,15,1,NA,NA,1,NA,NA,17
Macon,01087,AL,7,NA,NA,NA,1,NA,NA,8
Crenshaw,01041,AL,1,2,NA,NA,1,NA,NA,4
Baltimore,24005,MD,15,NA,NA,NA,NA,NA,NA,15
Dorchester,24019,MD,2,NA,NA,NA,NA,NA,NA,2
Charles,24017,MD,NA,NA,NA,NA,NA,NA,NA,0
Cecil,24015,MD,2,NA,NA,NA,NA,NA,NA,2
Adams,28001,MS,11,2,NA,NA,1,NA,NA,14
Lowndes,28087,MS,2,NA,NA,NA,NA,NA,NA,2
Tunica,28143,MS,NA,NA,NA,NA,NA,NA,NA,0
Tippah,28139,MS,1,3,NA,1,1,NA,NA,5
Jefferson,29099,MO,NA,NA,NA,NA,NA,NA,NA,0
Columbus,37047,NC,7,4,NA,1,1,NA,NA,12
Cherokee,37039,NC,6,NA,NA,NA,1,NA,NA,7
