NAME,GEOID,STUSPS,O,H,G,pre1970,USDA Plants,BONAP,Nature Serve,anyRecord
Chicot,05017,AR,NA,NA,NA,NA,NA,NA,NA,0
Randolph,05121,AR,NA,NA,NA,NA,NA,NA,NA,0
Lafayette,05073,AR,NA,NA,NA,NA,NA,NA,NA,0
Hempstead,05057,AR,NA,NA,NA,NA,1,NA,NA,1
Lake,18089,IN,NA,NA,NA,NA,NA,NA,NA,0
Whitley,21235,KY,NA,NA,NA,NA,NA,NA,NA,0
Lee,48287,TX,NA,NA,NA,NA,NA,NA,NA,0
Letcher,21133,KY,NA,NA,NA,NA,NA,NA,NA,0
Baltimore,24005,MD,NA,NA,NA,NA,1,1,NA,2
Dorchester,24019,MD,NA,NA,NA,NA,NA,NA,NA,0
Charles,24017,MD,NA,NA,NA,NA,NA,NA,NA,0
Cecil,24015,MD,NA,NA,NA,NA,NA,NA,NA,0
Jefferson,29099,MO,NA,NA,NA,NA,1,1,NA,2
Marshall,40095,OK,NA,NA,NA,NA,NA,NA,NA,0
Bowie,48037,TX,NA,NA,NA,NA,NA,NA,NA,0
Lancaster,42071,PA,NA,1,NA,1,1,1,NA,3
Northampton,42095,PA,NA,NA,NA,NA,NA,NA,NA,0
Shelby,47157,TN,NA,NA,NA,NA,NA,NA,NA,0
Sumner,47165,TN,NA,NA,NA,NA,NA,NA,NA,0
Carter,47019,TN,NA,NA,NA,NA,NA,NA,NA,0
Monroe,47123,TN,NA,NA,NA,NA,NA,NA,NA,0
Campbell,47013,TN,NA,NA,NA,NA,NA,NA,NA,0
Kleberg,48273,TX,NA,NA,NA,NA,NA,NA,NA,0
Hudspeth,48229,TX,NA,NA,NA,NA,NA,NA,NA,0
Shelby,48419,TX,NA,NA,NA,NA,NA,NA,NA,0
Loving,48301,TX,NA,NA,NA,NA,NA,NA,NA,0
Northumberland,51133,VA,NA,NA,NA,NA,NA,NA,NA,0
Westmoreland,51193,VA,NA,NA,NA,NA,NA,NA,NA,0
Gloucester,51073,VA,NA,NA,NA,NA,NA,NA,NA,0
Loudoun,51107,VA,NA,NA,NA,NA,1,1,NA,2
Pittsylvania,51143,VA,NA,NA,NA,NA,NA,NA,NA,0
Halifax,51083,VA,NA,NA,NA,NA,NA,NA,NA,0
McDowell,54047,WV,NA,NA,NA,NA,NA,NA,NA,0
Wayne,54099,WV,NA,NA,NA,NA,NA,1,NA,1
Jefferson,54037,WV,NA,NA,NA,NA,NA,NA,NA,0
Berkeley,54003,WV,NA,NA,NA,NA,NA,NA,NA,0
Faulkner,05045,AR,NA,NA,NA,NA,NA,NA,NA,0
Bradley,05011,AR,NA,NA,NA,NA,NA,NA,NA,0
Lonoke,05085,AR,NA,NA,NA,NA,NA,NA,NA,0
Nevada,05099,AR,NA,NA,NA,NA,1,NA,NA,1
Cross,05037,AR,NA,NA,NA,NA,NA,NA,NA,0
Fayette,18041,IN,NA,NA,NA,NA,NA,NA,NA,0
Huntington,18069,IN,NA,NA,NA,NA,NA,NA,NA,0
Larue,21123,KY,NA,NA,NA,NA,NA,NA,NA,0
Johnson,21115,KY,NA,NA,NA,NA,NA,NA,NA,0
Jackson,21109,KY,NA,NA,NA,NA,NA,NA,NA,0
Morgan,21175,KY,NA,NA,NA,NA,NA,NA,NA,0
Bath,21011,KY,NA,NA,NA,NA,NA,NA,NA,0
Wayne,21231,KY,NA,NA,NA,NA,1,1,NA,2
Edmonson,21061,KY,NA,NA,NA,NA,NA,NA,NA,0
Menifee,21165,KY,NA,NA,NA,NA,NA,NA,NA,0
Carroll,29033,MO,NA,1,NA,NA,NA,NA,NA,1
Cedar,29039,MO,NA,NA,NA,NA,NA,NA,NA,0
Schuyler,29197,MO,NA,NA,NA,NA,NA,NA,NA,0
Wagoner,40145,OK,NA,NA,NA,NA,NA,NA,NA,0
Seminole,40133,OK,NA,NA,NA,NA,NA,NA,NA,0
Fayette,42051,PA,1,2,NA,NA,NA,1,NA,4
Westmoreland,42129,PA,NA,NA,NA,NA,NA,NA,NA,0
Cameron,42023,PA,NA,NA,NA,NA,NA,NA,NA,0
Anderson,47001,TN,NA,NA,NA,NA,NA,NA,NA,0
Wilson,47189,TN,NA,NA,NA,NA,1,1,NA,2
Perry,47135,TN,NA,NA,NA,NA,NA,NA,NA,0
Dyer,47045,TN,NA,NA,NA,NA,NA,NA,NA,0
Cocke,47029,TN,NA,NA,NA,NA,NA,NA,NA,0
Fentress,47049,TN,NA,NA,NA,NA,NA,NA,NA,0
Humphreys,47085,TN,NA,NA,NA,NA,NA,NA,NA,0
White,47185,TN,1,NA,NA,NA,NA,1,NA,2
Moore,47127,TN,NA,NA,NA,NA,NA,NA,NA,0
Montgomery,48339,TX,NA,NA,NA,NA,NA,NA,NA,0
Bexar,48029,TX,NA,1,NA,NA,NA,1,NA,2
Jefferson,48245,TX,NA,NA,NA,NA,NA,NA,NA,0
Tyler,48457,TX,NA,NA,NA,NA,NA,NA,NA,0
Fort Bend,48157,TX,NA,NA,NA,NA,NA,NA,NA,0
Ellis,48139,TX,NA,NA,NA,NA,NA,NA,NA,0
Wood,48499,TX,NA,NA,NA,NA,NA,NA,NA,0
Brazos,48041,TX,NA,NA,NA,NA,NA,NA,NA,0
Upshur,48459,TX,NA,NA,NA,NA,NA,NA,NA,0
