NAME,GEOID,STUSPS,O,H,G,pre1970,USDA Plants,BONAP,Nature Serve,anyRecord
Bradford,12007,FL,NA,NA,NA,NA,NA,NA,NA,0
Brevard,12009,FL,26,17,NA,NA,1,1,NA,45
Walton,12131,FL,NA,NA,NA,NA,NA,NA,NA,0
Hernando,12053,FL,5,NA,NA,NA,1,1,NA,7
Hamilton,12047,FL,NA,NA,NA,NA,NA,NA,NA,0
Jefferson,12065,FL,NA,NA,NA,NA,NA,NA,NA,0
Duval,12031,FL,NA,NA,NA,NA,NA,NA,NA,0
Seminole,12117,FL,9,2,NA,2,1,1,NA,13
Gilchrist,12041,FL,NA,NA,NA,NA,NA,NA,NA,0
Calhoun,12013,FL,NA,NA,NA,NA,NA,NA,NA,0
Pinellas,12103,FL,1,2,NA,NA,1,1,NA,5
Hillsborough,12057,FL,32,16,NA,4,1,1,NA,50
Levy,12075,FL,2,NA,NA,NA,NA,NA,NA,2
Miami-Dade,12086,FL,8,9,NA,4,1,1,NA,19
Lee,12071,FL,20,8,NA,6,1,1,NA,30
Santa Rosa,12113,FL,NA,NA,NA,NA,NA,NA,NA,0
Franklin,12037,FL,NA,NA,NA,NA,NA,NA,NA,0
Leon,12073,FL,NA,NA,NA,NA,NA,NA,NA,0
Lake,12069,FL,2,4,NA,NA,NA,NA,NA,6
Marion,12083,FL,4,1,NA,NA,1,1,NA,7
Columbia,12023,FL,NA,NA,NA,NA,NA,NA,NA,0
Sumter,12119,FL,3,NA,NA,NA,1,1,NA,5
Osceola,12097,FL,5,8,NA,NA,1,1,NA,15
Suwannee,12121,FL,NA,NA,NA,NA,NA,NA,NA,0
Union,12125,FL,NA,NA,NA,NA,NA,NA,NA,0
Taylor,12123,FL,NA,1,NA,1,NA,NA,NA,1
Pasco,12101,FL,21,4,NA,NA,1,1,NA,27
Escambia,12033,FL,NA,NA,NA,NA,NA,NA,NA,0
Nassau,12089,FL,NA,NA,NA,NA,NA,NA,NA,0
Polk,12105,FL,29,9,NA,4,1,1,NA,40
Gulf,12045,FL,NA,NA,NA,NA,NA,NA,NA,0
Dixie,12029,FL,NA,NA,NA,NA,NA,NA,NA,0
Wakulla,12129,FL,NA,NA,NA,NA,NA,NA,NA,0
Alachua,12001,FL,NA,NA,NA,NA,NA,NA,NA,0
Orange,12095,FL,10,2,NA,1,1,1,NA,14
Okeechobee,12093,FL,11,3,NA,NA,1,1,NA,16
Putnam,12107,FL,NA,NA,NA,NA,NA,NA,NA,0
Gadsden,12039,FL,NA,NA,NA,NA,NA,NA,NA,0
Highlands,12055,FL,6,1,NA,NA,1,1,NA,9
Washington,12133,FL,NA,NA,NA,NA,NA,NA,NA,0
Citrus,12017,FL,5,3,NA,NA,1,1,NA,10
Monroe,12087,FL,1,1,NA,1,NA,NA,NA,2
Collier,12021,FL,27,4,NA,NA,1,1,NA,33
DeSoto,12027,FL,4,5,NA,NA,1,1,NA,11
Charlotte,12015,FL,10,4,NA,NA,NA,1,NA,15
Holmes,12059,FL,NA,NA,NA,NA,NA,NA,NA,0
Madison,12079,FL,NA,NA,NA,NA,NA,NA,NA,0
Baker,12003,FL,NA,NA,NA,NA,NA,NA,NA,0
Manatee,12081,FL,8,13,NA,NA,1,1,NA,23
Sarasota,12115,FL,52,11,NA,NA,1,1,NA,65
St. Lucie,12111,FL,15,4,NA,1,1,1,NA,21
Palm Beach,12099,FL,78,3,NA,1,1,1,NA,83
Bay,12005,FL,NA,NA,NA,NA,NA,NA,NA,0
Clay,12019,FL,NA,NA,NA,NA,NA,NA,NA,0
Lafayette,12067,FL,NA,NA,NA,NA,NA,NA,NA,0
Hardee,12049,FL,2,6,NA,NA,1,1,NA,10
Liberty,12077,FL,NA,NA,NA,NA,NA,NA,NA,0
Broward,12011,FL,22,4,NA,NA,1,1,NA,28
Volusia,12127,FL,19,5,NA,NA,1,1,NA,26
Indian River,12061,FL,2,5,NA,1,1,1,NA,9
Okaloosa,12091,FL,NA,NA,NA,NA,NA,NA,NA,0
Hendry,12051,FL,10,3,NA,NA,NA,1,NA,14
Martin,12085,FL,60,3,NA,NA,1,1,NA,65
Jackson,12063,FL,NA,1,NA,NA,NA,NA,NA,1
St. Johns,12109,FL,NA,NA,NA,NA,NA,NA,NA,0
Flagler,12035,FL,NA,1,NA,NA,1,1,NA,3
Glades,12043,FL,2,3,NA,NA,1,1,NA,7
