NAME,GEOID,STUSPS,O,H,G,pre1970,USDA Plants,BONAP,Nature Serve,anyRecord
Houston,01069,AL,NA,NA,NA,NA,NA,NA,NA,0
Choctaw,01023,AL,NA,NA,NA,NA,NA,NA,NA,0
Russell,01113,AL,NA,NA,NA,NA,NA,NA,NA,0
Jackson,01071,AL,NA,NA,NA,NA,NA,NA,NA,0
Madison,01089,AL,NA,NA,NA,NA,NA,NA,NA,0
Chicot,05017,AR,NA,NA,NA,NA,NA,NA,NA,0
Randolph,05121,AR,NA,NA,NA,NA,NA,NA,NA,0
Lafayette,05073,AR,NA,NA,NA,NA,NA,NA,NA,0
Hempstead,05057,AR,NA,NA,NA,NA,NA,NA,NA,0
San Luis Obispo,06079,CA,NA,NA,NA,NA,NA,NA,NA,0
San Mateo,06081,CA,NA,NA,NA,NA,NA,NA,NA,0
Sierra,06091,CA,NA,NA,NA,NA,NA,NA,NA,0
Bradford,12007,FL,NA,NA,NA,NA,NA,NA,NA,0
Brevard,12009,FL,1,4,NA,NA,NA,NA,NA,5
Walton,12131,FL,NA,2,NA,NA,NA,NA,NA,2
Hernando,12053,FL,2,2,NA,1,NA,NA,NA,4
Hamilton,12047,FL,NA,1,NA,NA,NA,NA,NA,1
Jefferson,12065,FL,1,2,NA,NA,NA,NA,NA,3
Duval,12031,FL,NA,1,NA,NA,NA,NA,NA,1
Elbert,13105,GA,NA,NA,NA,NA,NA,NA,NA,0
Murray,13213,GA,NA,NA,NA,NA,NA,NA,NA,0
Livingston,17105,IL,NA,NA,NA,NA,NA,NA,NA,0
Rock Island,17161,IL,NA,NA,NA,NA,NA,NA,NA,0
Sacramento,06067,CA,NA,NA,NA,NA,NA,NA,NA,0
Tulare,06107,CA,NA,NA,NA,NA,NA,NA,NA,0
San Benito,06069,CA,NA,NA,NA,NA,NA,NA,NA,0
Mason,17125,IL,NA,NA,NA,NA,NA,NA,NA,0
Lee,48287,TX,NA,NA,NA,NA,NA,NA,NA,0
Talladega,01121,AL,NA,NA,NA,NA,NA,NA,NA,0
Plaquemines,22075,LA,NA,NA,NA,NA,NA,NA,NA,0
De Soto,22031,LA,NA,NA,NA,NA,NA,NA,NA,0
Union,22111,LA,NA,NA,NA,NA,NA,NA,NA,0
Vernon,22115,LA,NA,NA,NA,NA,NA,NA,NA,0
Macon,01087,AL,NA,NA,NA,NA,NA,NA,NA,0
Crenshaw,01041,AL,NA,NA,NA,NA,NA,NA,NA,0
Baltimore,24005,MD,NA,NA,NA,NA,NA,NA,NA,0
Dorchester,24019,MD,NA,1,NA,NA,NA,NA,NA,1
Charles,24017,MD,NA,NA,NA,NA,NA,NA,NA,0
Cecil,24015,MD,NA,NA,NA,NA,NA,NA,NA,0
Adams,28001,MS,NA,NA,NA,NA,NA,NA,NA,0
Lowndes,28087,MS,NA,NA,NA,NA,NA,NA,NA,0
Tunica,28143,MS,NA,NA,NA,NA,NA,NA,NA,0
Tippah,28139,MS,NA,NA,NA,NA,NA,NA,NA,0
Jefferson,29099,MO,NA,NA,NA,NA,NA,NA,NA,0
Columbus,37047,NC,NA,1,NA,NA,NA,NA,NA,1
