NAME,GEOID,STUSPS,O,H,G,pre1970,USDA Plants,BONAP,Nature Serve,anyRecord
Houston,01069,AL,NA,NA,NA,NA,1,1,NA,2
Choctaw,01023,AL,NA,NA,NA,NA,1,1,NA,2
Russell,01113,AL,NA,2,NA,NA,1,1,NA,4
Sussex,10005,DE,NA,NA,NA,NA,NA,1,NA,1
Jackson,01071,AL,NA,1,NA,NA,1,1,NA,3
Madison,01089,AL,NA,2,NA,NA,1,1,NA,4
Chicot,05017,AR,NA,1,NA,NA,NA,1,NA,2
Randolph,05121,AR,NA,NA,NA,NA,NA,NA,NA,0
Lafayette,05073,AR,NA,NA,NA,NA,NA,NA,NA,0
Hempstead,05057,AR,NA,NA,NA,NA,1,1,NA,2
Bradford,12007,FL,NA,NA,NA,NA,NA,NA,NA,0
New Castle,10003,DE,2,4,NA,4,1,1,NA,8
Brevard,12009,FL,NA,NA,NA,NA,NA,NA,NA,0
Walton,12131,FL,NA,NA,NA,NA,NA,NA,NA,0
Hernando,12053,FL,NA,2,NA,NA,1,1,NA,4
Hamilton,12047,FL,NA,NA,NA,NA,NA,NA,NA,0
Jefferson,12065,FL,NA,4,NA,NA,NA,1,NA,5
Duval,12031,FL,NA,2,NA,NA,NA,NA,NA,2
Elbert,13105,GA,NA,4,NA,1,1,1,NA,6
Murray,13213,GA,NA,NA,NA,NA,NA,NA,NA,0
Livingston,17105,IL,NA,NA,NA,NA,NA,NA,NA,0
Rock Island,17161,IL,NA,3,NA,1,1,1,NA,5
Lake,18089,IN,NA,10,NA,1,NA,NA,NA,10
Ringgold,19159,IA,NA,NA,NA,NA,NA,NA,NA,0
Scott,19163,IA,1,1,NA,1,NA,1,NA,3
Mason,17125,IL,NA,2,NA,NA,1,1,NA,4
Bronx,36005,NY,NA,1,NA,1,1,1,NA,3
Labette,20099,KS,NA,1,NA,1,1,1,NA,3
Westchester,36119,NY,1,NA,NA,NA,1,1,NA,3
Madison,36053,NY,NA,2,NA,1,NA,NA,NA,2
Whitley,21235,KY,NA,2,NA,NA,1,1,NA,4
Erie,36029,NY,7,NA,NA,NA,NA,NA,NA,7
Lee,48287,TX,NA,NA,NA,NA,NA,NA,NA,0
Saratoga,36091,NY,1,NA,NA,NA,NA,NA,NA,1
Talladega,01121,AL,NA,NA,NA,NA,1,1,NA,2
Letcher,21133,KY,1,NA,NA,NA,1,1,NA,3
Cuyahoga,39035,OH,1,NA,NA,NA,NA,1,NA,2
Hamilton,39061,OH,11,2,NA,2,1,1,NA,15
Plaquemines,22075,LA,NA,NA,NA,NA,NA,NA,NA,0
De Soto,22031,LA,NA,NA,NA,NA,1,1,NA,2
Union,22111,LA,NA,NA,NA,NA,NA,NA,NA,0
Vernon,22115,LA,NA,NA,NA,NA,NA,NA,NA,0
Macon,01087,AL,NA,NA,NA,NA,NA,NA,NA,0
Crenshaw,01041,AL,NA,1,NA,1,1,NA,NA,2
Baltimore,24005,MD,5,4,NA,NA,NA,1,NA,10
Dorchester,24019,MD,1,NA,NA,NA,NA,NA,NA,1
Charles,24017,MD,2,1,NA,NA,NA,NA,NA,3
Cecil,24015,MD,1,NA,NA,NA,NA,1,NA,2
Marquette,26103,MI,NA,NA,NA,NA,NA,NA,NA,0
Gogebic,26053,MI,NA,NA,NA,NA,NA,NA,NA,0
Monroe,26115,MI,NA,2,NA,NA,NA,1,NA,3
Presque Isle,26141,MI,NA,NA,NA,NA,NA,NA,NA,0
Adams,28001,MS,NA,NA,NA,NA,NA,NA,NA,0
Lowndes,28087,MS,NA,2,NA,NA,NA,1,NA,3
Tunica,28143,MS,NA,1,NA,1,1,1,NA,3
Tippah,28139,MS,NA,NA,NA,NA,NA,1,NA,1
Jefferson,29099,MO,NA,23,NA,1,1,1,NA,25
Atlantic,34001,NJ,NA,1,NA,NA,NA,NA,NA,1
Cape May,34009,NJ,NA,NA,NA,NA,1,1,NA,2
Warren,34041,NJ,NA,6,NA,6,1,1,NA,8
Hunterdon,34019,NJ,1,7,1,3,1,1,NA,11
Monmouth,34025,NJ,NA,3,NA,3,1,1,NA,5
Middlesex,34023,NJ,4,1,NA,1,1,1,NA,7
Essex,36031,NY,NA,NA,NA,NA,NA,1,NA,1
Columbus,37047,NC,NA,NA,NA,NA,NA,NA,NA,0
Cherokee,37039,NC,NA,NA,NA,NA,1,1,NA,2
Polk,37149,NC,NA,2,NA,1,NA,1,NA,3
Ashe,37009,NC,NA,NA,NA,NA,NA,1,NA,1
Dare,37055,NC,NA,1,NA,NA,NA,1,NA,2
Hertford,37091,NC,NA,NA,NA,NA,NA,1,NA,1
Washington,39167,OH,2,NA,NA,NA,1,1,NA,4
Marshall,40095,OK,NA,1,NA,NA,NA,NA,NA,1
Bowie,48037,TX,NA,NA,NA,NA,NA,1,NA,1
Lancaster,42071,PA,NA,49,NA,18,1,1,NA,51
Northampton,42095,PA,NA,26,NA,24,1,1,NA,28
Beaufort,45013,SC,NA,5,NA,NA,NA,1,NA,6
Horry,45051,SC,1,1,NA,NA,NA,1,NA,3
York,45091,SC,1,5,NA,1,NA,1,NA,7
Charles Mix,46023,SD,NA,NA,NA,NA,NA,NA,NA,0
Shelby,47157,TN,1,NA,NA,NA,1,1,NA,3
Sumner,47165,TN,NA,NA,NA,NA,1,1,NA,2
Carter,47019,TN,NA,2,NA,NA,1,1,NA,4
Monroe,47123,TN,NA,1,NA,NA,1,1,NA,3
Campbell,47013,TN,1,NA,NA,NA,1,1,NA,3
Kleberg,48273,TX,NA,NA,NA,NA,NA,NA,NA,0
Hudspeth,48229,TX,NA,NA,NA,NA,NA,NA,NA,0
Shelby,48419,TX,NA,3,NA,NA,NA,1,NA,4
Loving,48301,TX,NA,NA,NA,NA,NA,NA,NA,0
Northumberland,51133,VA,NA,NA,NA,NA,NA,NA,NA,0
Westmoreland,51193,VA,NA,5,NA,NA,1,1,NA,7
Gloucester,51073,VA,1,NA,NA,NA,1,1,NA,3
Loudoun,51107,VA,3,9,NA,3,1,1,NA,14
Pittsylvania,51143,VA,NA,NA,NA,NA,1,1,NA,2
Halifax,51083,VA,NA,1,NA,NA,1,1,NA,3
McDowell,54047,WV,NA,NA,NA,NA,NA,NA,NA,0
Wayne,54099,WV,NA,NA,NA,NA,1,1,NA,2
Jefferson,54037,WV,1,1,NA,NA,NA,1,NA,3
Berkeley,54003,WV,NA,NA,NA,NA,NA,NA,NA,0
Faulkner,05045,AR,NA,NA,NA,NA,1,1,NA,2
Bradley,05011,AR,NA,NA,NA,NA,1,1,NA,2
Lonoke,05085,AR,NA,NA,NA,NA,NA,NA,NA,0
Nevada,05099,AR,NA,NA,NA,NA,NA,NA,NA,0
Cross,05037,AR,NA,NA,NA,NA,1,1,NA,2
Seminole,12117,FL,NA,1,NA,1,NA,NA,NA,1
Gilchrist,12041,FL,NA,NA,NA,NA,NA,NA,NA,0
Calhoun,12013,FL,NA,2,NA,NA,NA,1,NA,3
Pierce,13229,GA,NA,NA,NA,NA,NA,NA,NA,0
Sumter,13261,GA,NA,NA,NA,NA,NA,NA,NA,0
Bibb,13021,GA,NA,3,NA,NA,NA,1,NA,4
Henry,13151,GA,NA,NA,NA,NA,NA,NA,NA,0
Madison,13195,GA,NA,NA,NA,NA,NA,NA,NA,0
Taliaferro,13265,GA,NA,NA,NA,NA,NA,NA,NA,0
Tattnall,13267,GA,NA,NA,NA,NA,NA,NA,NA,0
Putnam,13237,GA,NA,NA,NA,NA,NA,NA,NA,0
Oconee,13219,GA,NA,NA,NA,NA,NA,NA,NA,0
Mitchell,13205,GA,NA,NA,NA,NA,NA,NA,NA,0
Miller,13201,GA,NA,NA,NA,NA,NA,NA,NA,0
Edwards,17047,IL,NA,NA,NA,NA,1,1,NA,2
Clinton,17027,IL,NA,1,NA,NA,NA,1,NA,2
Fayette,18041,IN,NA,NA,NA,NA,NA,NA,NA,0
Huntington,18069,IN,1,1,NA,1,1,1,NA,4
Union,19175,IA,NA,NA,NA,NA,NA,NA,NA,0
Franklin,20059,KS,NA,1,NA,NA,NA,1,NA,2
Scott,20171,KS,NA,2,NA,NA,NA,NA,NA,2
Larue,21123,KY,NA,NA,NA,NA,1,1,NA,2
Johnson,21115,KY,NA,NA,NA,NA,NA,NA,NA,0
Jackson,21109,KY,NA,4,NA,NA,1,1,NA,6
Morgan,21175,KY,NA,NA,NA,NA,NA,NA,NA,0
Bath,21011,KY,NA,NA,NA,NA,1,1,NA,2
Wayne,21231,KY,NA,NA,NA,NA,1,1,NA,2
Edmonson,21061,KY,NA,NA,NA,NA,1,1,NA,2
Menifee,21165,KY,NA,NA,NA,NA,1,1,NA,2
Acadia,22001,LA,NA,NA,NA,NA,NA,NA,NA,0
Orleans,22071,LA,NA,NA,NA,NA,1,1,NA,2
St. Tammany,22103,LA,NA,NA,NA,NA,1,1,NA,2
Morehouse,22067,LA,NA,NA,NA,NA,1,1,NA,2
Red River,22081,LA,NA,3,NA,NA,1,1,NA,5
Evangeline,22039,LA,NA,NA,NA,NA,NA,NA,NA,0
Grant,22043,LA,NA,NA,NA,NA,NA,NA,NA,0
Richland,22083,LA,NA,NA,NA,NA,1,1,NA,2
Oscoda,26135,MI,NA,NA,NA,NA,NA,NA,NA,0
Yazoo,28163,MS,NA,1,NA,NA,NA,1,NA,2
Madison,28089,MS,NA,NA,NA,NA,NA,NA,NA,0
Newton,28101,MS,NA,NA,NA,NA,NA,NA,NA,0
Carroll,29033,MO,NA,NA,NA,NA,NA,1,NA,1
Cedar,29039,MO,NA,NA,NA,NA,1,1,NA,2
Schuyler,29197,MO,NA,1,NA,NA,1,1,NA,3
Loup,31115,NE,NA,NA,NA,NA,NA,NA,NA,0
Arthur,31005,NE,NA,NA,NA,NA,NA,NA,NA,0
Warren,36113,NY,NA,NA,NA,NA,NA,1,NA,1
Chenango,36017,NY,NA,1,NA,NA,NA,NA,NA,1
Livingston,36051,NY,NA,1,NA,NA,NA,NA,NA,1
Wilkes,37193,NC,NA,4,NA,1,NA,1,NA,5
Rowan,37159,NC,NA,1,NA,NA,NA,1,NA,2
Henderson,37089,NC,NA,1,NA,NA,NA,1,NA,2
Sampson,37163,NC,NA,NA,NA,NA,NA,1,NA,1
Mitchell,37121,NC,NA,NA,NA,NA,NA,NA,NA,0
Harrison,39067,OH,NA,NA,NA,NA,NA,NA,NA,0
Wagoner,40145,OK,NA,NA,NA,NA,1,1,NA,2
Seminole,40133,OK,NA,1,NA,NA,NA,1,NA,2
Fayette,42051,PA,1,7,NA,1,1,1,NA,10
Westmoreland,42129,PA,NA,15,NA,2,1,1,NA,17
Cameron,42023,PA,NA,NA,NA,NA,NA,NA,NA,0
Kershaw,45055,SC,NA,NA,NA,NA,1,1,NA,2
Clarendon,45027,SC,NA,1,NA,NA,NA,1,NA,2
Calhoun,45017,SC,NA,3,NA,1,NA,1,NA,4
Lake,46079,SD,NA,1,NA,NA,NA,NA,NA,1
Anderson,47001,TN,1,NA,NA,NA,NA,NA,NA,1
Wilson,47189,TN,NA,NA,NA,NA,1,1,NA,2
Perry,47135,TN,NA,NA,NA,NA,1,1,NA,2
Dyer,47045,TN,NA,NA,NA,NA,NA,NA,NA,0
Cocke,47029,TN,NA,3,NA,1,1,1,NA,5
Fentress,47049,TN,NA,NA,NA,NA,NA,NA,NA,0
Humphreys,47085,TN,NA,NA,NA,NA,1,1,NA,2
White,47185,TN,NA,NA,NA,NA,NA,1,NA,1
