NAME,GEOID,STUSPS,O,H,G,pre1970,USDA Plants,BONAP,Nature Serve,anyRecord
Western Connecticut,09190,CT,NA,2,NA,NA,NA,NA,NA,2
Bronx,36005,NY,NA,NA,NA,NA,NA,NA,NA,0
Westchester,36119,NY,NA,NA,NA,NA,NA,NA,NA,0
Madison,36053,NY,NA,NA,NA,NA,NA,NA,NA,0
Providence,44007,RI,NA,NA,NA,NA,NA,NA,NA,0
Erie,36029,NY,NA,NA,NA,NA,NA,NA,NA,0
Saratoga,36091,NY,NA,NA,NA,NA,NA,NA,NA,0
Barnstable,25001,MA,NA,NA,NA,NA,NA,NA,NA,0
Middlesex,25017,MA,NA,2,NA,NA,NA,NA,NA,2
Strafford,33017,NH,NA,NA,NA,NA,NA,NA,NA,0
Atlantic,34001,NJ,NA,NA,NA,NA,NA,NA,NA,0
Cape May,34009,NJ,NA,NA,NA,NA,NA,NA,NA,0
Warren,34041,NJ,NA,NA,NA,NA,NA,NA,NA,0
Hunterdon,34019,NJ,NA,NA,NA,NA,NA,NA,NA,0
Monmouth,34025,NJ,NA,NA,NA,NA,NA,NA,NA,0
Middlesex,34023,NJ,NA,NA,NA,NA,NA,NA,NA,0
Essex,36031,NY,NA,NA,NA,NA,NA,NA,NA,0
Lancaster,42071,PA,NA,NA,NA,NA,NA,NA,NA,0
Northampton,42095,PA,NA,1,NA,1,NA,NA,NA,1
Washington,44009,RI,NA,NA,NA,NA,NA,NA,NA,0
Warren,36113,NY,NA,NA,NA,NA,NA,NA,NA,0
Chenango,36017,NY,NA,NA,NA,NA,NA,NA,NA,0
Livingston,36051,NY,NA,NA,NA,NA,NA,NA,NA,0
Fayette,42051,PA,NA,2,NA,2,NA,NA,NA,2
Westmoreland,42129,PA,NA,2,NA,2,NA,NA,NA,2
Cameron,42023,PA,NA,NA,NA,NA,NA,NA,NA,0
South Central Connecticut,09170,CT,NA,NA,NA,NA,NA,NA,NA,0
Southeastern Connecticut,09180,CT,NA,2,NA,NA,NA,NA,NA,2
York,23031,ME,NA,NA,NA,NA,NA,NA,NA,0
Washington,23029,ME,NA,NA,NA,NA,NA,NA,NA,0
Aroostook,23003,ME,NA,NA,NA,NA,NA,NA,NA,0
Niagara,36063,NY,NA,NA,NA,NA,NA,NA,NA,0
York,42133,PA,NA,NA,NA,NA,NA,NA,NA,0
Bucks,42017,PA,NA,NA,NA,NA,NA,NA,NA,0
Erie,42049,PA,NA,NA,NA,NA,NA,NA,NA,0
Wayne,42127,PA,NA,NA,NA,NA,NA,NA,NA,0
Chester,42029,PA,NA,NA,NA,NA,NA,NA,NA,0
Monroe,42089,PA,NA,NA,NA,NA,NA,NA,NA,0
Suffolk,25025,MA,NA,NA,NA,NA,NA,NA,NA,0
Norfolk,25021,MA,NA,NA,NA,NA,NA,NA,NA,0
Hampden,25013,MA,NA,NA,NA,NA,NA,NA,NA,0
Jefferson,36045,NY,NA,NA,NA,NA,NA,NA,NA,0
Passaic,34031,NJ,NA,NA,NA,NA,NA,NA,NA,0
Kings,36047,NY,NA,NA,NA,NA,NA,NA,NA,0
Oswego,36075,NY,NA,NA,NA,NA,NA,NA,NA,0
Orange,36071,NY,NA,NA,NA,NA,NA,NA,NA,0
Windsor,50027,VT,NA,NA,NA,NA,NA,NA,NA,0
Somerset,34035,NJ,NA,NA,NA,NA,NA,NA,NA,0
Montgomery,42091,PA,NA,NA,NA,NA,NA,NA,NA,0
Dauphin,42043,PA,NA,NA,NA,NA,NA,NA,NA,0
Centre,42027,PA,NA,NA,NA,NA,NA,NA,NA,0
Clearfield,42033,PA,NA,NA,NA,NA,NA,NA,NA,0
Indiana,42063,PA,NA,NA,NA,NA,NA,NA,NA,0
Clarion,42031,PA,NA,NA,NA,NA,NA,NA,NA,0
Clinton,42035,PA,NA,NA,NA,NA,NA,NA,NA,0
Huntingdon,42061,PA,NA,NA,NA,NA,NA,NA,NA,0
Sullivan,42113,PA,NA,NA,NA,NA,NA,NA,NA,0
Washington,42125,PA,NA,NA,NA,NA,NA,NA,NA,0
Newport,44005,RI,NA,NA,NA,NA,NA,NA,NA,0
Essex,50009,VT,NA,NA,NA,NA,NA,NA,NA,0
Capitol,09110,CT,NA,5,NA,2,NA,NA,NA,5
New York,36061,NY,NA,4,NA,NA,NA,NA,NA,4
Nassau,36059,NY,1,NA,NA,NA,NA,NA,NA,1
Ulster,36111,NY,NA,NA,NA,NA,NA,NA,NA,0
Lincoln,23015,ME,NA,NA,NA,NA,NA,NA,NA,0
Salem,34033,NJ,NA,NA,NA,NA,NA,NA,NA,0
Camden,34007,NJ,NA,NA,NA,NA,NA,NA,NA,0
Gloucester,34015,NJ,NA,1,NA,NA,NA,NA,NA,1
Allegheny,42003,PA,NA,2,NA,2,NA,NA,NA,2
Cumberland,42041,PA,NA,NA,NA,NA,NA,NA,NA,0
Juniata,42067,PA,NA,NA,NA,NA,NA,NA,NA,0
Waldo,23027,ME,NA,NA,NA,NA,NA,NA,NA,0
Oxford,23017,ME,NA,14,NA,1,NA,NA,NA,14
Somerset,42111,PA,NA,NA,NA,NA,NA,NA,NA,0
Delaware,42045,PA,NA,NA,NA,NA,NA,NA,NA,0
Pike,42103,PA,NA,NA,NA,NA,NA,NA,NA,0
Naugatuck Valley,09140,CT,NA,NA,NA,NA,NA,NA,NA,0
Hampshire,25015,MA,NA,NA,NA,NA,NA,NA,NA,0
Otsego,36077,NY,NA,NA,NA,NA,NA,NA,NA,0
Onondaga,36067,NY,NA,NA,NA,NA,NA,NA,NA,0
Chautauqua,36013,NY,NA,NA,NA,NA,NA,NA,NA,0
Knox,23013,ME,NA,NA,NA,NA,NA,NA,NA,0
Cumberland,34011,NJ,NA,NA,NA,NA,NA,NA,NA,0
Mercer,34021,NJ,NA,NA,NA,NA,NA,NA,NA,0
Grafton,33009,NH,NA,2,NA,2,NA,NA,NA,2
Cattaraugus,36009,NY,NA,NA,NA,NA,NA,NA,NA,0
Sullivan,36105,NY,NA,2,NA,NA,NA,NA,NA,2
Oneida,36065,NY,NA,NA,NA,NA,NA,NA,NA,0
Perry,42099,PA,NA,NA,NA,NA,NA,NA,NA,0
Sagadahoc,23023,ME,NA,2,NA,2,NA,NA,NA,2
Delaware,36025,NY,NA,NA,NA,NA,NA,NA,NA,0
Armstrong,42005,PA,NA,NA,NA,NA,NA,NA,NA,0
Philadelphia,42101,PA,NA,NA,NA,NA,NA,NA,NA,0
Coos,33007,NH,NA,1,NA,1,NA,NA,NA,1
Suffolk,36103,NY,NA,NA,NA,NA,NA,NA,NA,0
Somerset,23025,ME,NA,NA,NA,NA,NA,NA,NA,0
Franklin,25011,MA,NA,2,NA,NA,NA,NA,NA,2
Essex,34013,NJ,NA,NA,NA,NA,NA,NA,NA,0
Herkimer,36043,NY,NA,NA,NA,NA,NA,NA,NA,0
Franklin,23007,ME,NA,7,NA,2,NA,NA,NA,7
Rockingham,33015,NH,NA,1,NA,NA,NA,NA,NA,1
Plymouth,25023,MA,NA,NA,NA,NA,NA,NA,NA,0
Franklin,42055,PA,NA,NA,NA,NA,NA,NA,NA,0
Piscataquis,23021,ME,NA,NA,NA,NA,NA,NA,NA,0
Northumberland,42097,PA,NA,NA,NA,NA,NA,NA,NA,0
Washington,36115,NY,NA,NA,NA,NA,NA,NA,NA,0
Greene,42059,PA,NA,NA,NA,NA,NA,NA,NA,0
Bergen,34003,NJ,NA,NA,NA,NA,NA,NA,NA,0
Schoharie,36095,NY,NA,NA,NA,NA,NA,NA,NA,0
Morris,34027,NJ,NA,NA,NA,NA,NA,NA,NA,0
Lower Connecticut River Valley,09130,CT,NA,NA,NA,NA,NA,NA,NA,0
Allegany,36003,NY,NA,NA,NA,NA,NA,NA,NA,0
Bristol,25005,MA,NA,NA,NA,NA,NA,NA,NA,0
Cayuga,36011,NY,NA,1,NA,NA,NA,NA,NA,1
Merrimack,33013,NH,NA,8,NA,3,NA,NA,NA,8
Northwest Hills,09160,CT,NA,1,NA,1,NA,NA,NA,1
Ontario,36069,NY,NA,NA,NA,NA,NA,NA,NA,0
Greene,36039,NY,NA,NA,NA,NA,NA,NA,NA,0
Genesee,36037,NY,NA,NA,NA,NA,NA,NA,NA,0
Lewis,36049,NY,NA,NA,NA,NA,NA,NA,NA,0
Lamoille,50015,VT,NA,NA,NA,NA,NA,NA,NA,0
Butler,42019,PA,NA,1,NA,1,NA,NA,NA,1
Carbon,42025,PA,NA,NA,NA,NA,NA,NA,NA,0
Luzerne,42079,PA,NA,NA,NA,NA,NA,NA,NA,0
Mifflin,42087,PA,NA,NA,NA,NA,NA,NA,NA,0
Forest,42053,PA,NA,NA,NA,NA,NA,NA,NA,0
Tioga,42117,PA,NA,NA,NA,NA,NA,NA,NA,0
Warren,42123,PA,NA,1,NA,1,NA,NA,NA,1
Caledonia,50005,VT,NA,NA,NA,NA,NA,NA,NA,0
Addison,50001,VT,NA,NA,NA,NA,NA,NA,NA,0
Androscoggin,23001,ME,NA,NA,NA,NA,NA,NA,NA,0
Cheshire,33005,NH,NA,2,NA,2,NA,NA,NA,2
Burlington,34005,NJ,NA,NA,NA,NA,NA,NA,NA,0
Chemung,36015,NY,NA,NA,NA,NA,NA,NA,NA,0
Broome,36007,NY,NA,NA,NA,NA,NA,NA,NA,0
Monroe,36055,NY,NA,NA,NA,NA,NA,NA,NA,0
Orange,50017,VT,NA,NA,NA,NA,NA,NA,NA,0
Chittenden,50007,VT,NA,NA,NA,NA,NA,NA,NA,0
Rutland,50021,VT,NA,NA,NA,NA,NA,NA,NA,0
Albany,36001,NY,NA,NA,NA,NA,NA,NA,NA,0
Orleans,50019,VT,NA,NA,NA,NA,NA,NA,NA,0
Carroll,33003,NH,NA,2,NA,2,NA,NA,NA,2
Sullivan,33019,NH,NA,1,NA,1,NA,NA,NA,1
Crawford,42039,PA,NA,NA,NA,NA,NA,NA,NA,0
Steuben,36101,NY,NA,NA,NA,NA,NA,NA,NA,0
Bradford,42015,PA,NA,NA,NA,NA,NA,NA,NA,0
Bristol,44001,RI,NA,NA,NA,NA,NA,NA,NA,0
Worcester,25027,MA,NA,NA,NA,NA,NA,NA,NA,0
Essex,25009,MA,NA,1,NA,NA,NA,NA,NA,1
Nantucket,25019,MA,NA,NA,NA,NA,NA,NA,NA,0
Orleans,36073,NY,NA,NA,NA,NA,NA,NA,NA,0
Putnam,36079,NY,NA,NA,NA,NA,NA,NA,NA,0
Queens,36081,NY,NA,NA,NA,NA,NA,NA,NA,0
Franklin,36033,NY,NA,NA,NA,NA,NA,NA,NA,0
Rensselaer,36083,NY,NA,NA,NA,NA,NA,NA,NA,0
Columbia,36021,NY,NA,NA,NA,NA,NA,NA,NA,0
Tioga,36107,NY,NA,NA,NA,NA,NA,NA,NA,0
Montgomery,36057,NY,NA,NA,NA,NA,NA,NA,NA,0
Seneca,36099,NY,NA,NA,NA,NA,NA,NA,NA,0
Tompkins,36109,NY,NA,NA,NA,NA,NA,NA,NA,0
Hudson,34017,NJ,NA,NA,NA,NA,NA,NA,NA,0
Dukes,25007,MA,NA,NA,NA,NA,NA,NA,NA,0
Berkshire,25003,MA,NA,NA,NA,NA,NA,NA,NA,0
Sussex,34037,NJ,NA,NA,NA,NA,NA,NA,NA,0
Cortland,36023,NY,NA,NA,NA,NA,NA,NA,NA,0
Potter,42105,PA,NA,NA,NA,NA,NA,NA,NA,0
Mercer,42085,PA,NA,NA,NA,NA,NA,NA,NA,0
Greater Bridgeport,09120,CT,NA,NA,NA,NA,NA,NA,NA,0
Schuyler,36097,NY,NA,NA,NA,NA,NA,NA,NA,0
Hamilton,36041,NY,NA,NA,NA,NA,NA,NA,NA,0
Lehigh,42077,PA,NA,NA,NA,NA,NA,NA,NA,0
Lackawanna,42069,PA,NA,1,NA,1,NA,NA,NA,1
Montour,42093,PA,NA,NA,NA,NA,NA,NA,NA,0
Ocean,34029,NJ,NA,NA,NA,NA,NA,NA,NA,0
Cumberland,23005,ME,NA,1,NA,1,NA,NA,NA,1
McKean,42083,PA,NA,NA,NA,NA,NA,NA,NA,0
Susquehanna,42115,PA,NA,NA,NA,NA,NA,NA,NA,0
Lebanon,42075,PA,NA,NA,NA,NA,NA,NA,NA,0
Cambria,42021,PA,NA,NA,NA,NA,NA,NA,NA,0
Lycoming,42081,PA,NA,NA,NA,NA,NA,NA,NA,0
Jefferson,42065,PA,NA,NA,NA,NA,NA,NA,NA,0
Bedford,42009,PA,NA,1,NA,1,NA,NA,NA,1
Snyder,42109,PA,NA,NA,NA,NA,NA,NA,NA,0
Wyoming,42131,PA,NA,NA,NA,NA,NA,NA,NA,0
Kennebec,23011,ME,NA,NA,NA,NA,NA,NA,NA,0
Wayne,36117,NY,NA,NA,NA,NA,NA,NA,NA,0
St. Lawrence,36089,NY,NA,NA,NA,NA,NA,NA,NA,0
Richmond,36085,NY,NA,NA,NA,NA,NA,NA,NA,0
Grand Isle,50013,VT,NA,NA,NA,NA,NA,NA,NA,0
Union,42119,PA,NA,2,NA,2,NA,NA,NA,2
Elk,42047,PA,NA,NA,NA,NA,NA,NA,NA,0
Schenectady,36093,NY,NA,NA,NA,NA,NA,NA,NA,0
Rockland,36087,NY,NA,NA,NA,NA,NA,NA,NA,0
Schuylkill,42107,PA,NA,NA,NA,NA,NA,NA,NA,0
Union,34039,NJ,NA,NA,NA,NA,NA,NA,NA,0
Beaver,42007,PA,NA,NA,NA,NA,NA,NA,NA,0
Penobscot,23019,ME,NA,15,NA,3,NA,NA,NA,15
Clinton,36019,NY,NA,NA,NA,NA,NA,NA,NA,0
Yates,36123,NY,NA,NA,NA,NA,NA,NA,NA,0
Lawrence,42073,PA,NA,NA,NA,NA,NA,NA,NA,0
Hillsborough,33011,NH,NA,NA,NA,NA,NA,NA,NA,0
Dutchess,36027,NY,NA,NA,NA,NA,NA,NA,NA,0
Northeastern Connecticut,09150,CT,NA,NA,NA,NA,NA,NA,NA,0
Fulton,36035,NY,NA,NA,NA,NA,NA,NA,NA,0
Columbia,42037,PA,NA,NA,NA,NA,NA,NA,NA,0
Franklin,50011,VT,NA,NA,NA,NA,NA,NA,NA,0
Blair,42013,PA,NA,NA,NA,NA,NA,NA,NA,0
Hancock,23009,ME,NA,NA,NA,NA,NA,NA,NA,0
Venango,42121,PA,NA,NA,NA,NA,NA,NA,NA,0
Washington,50023,VT,NA,NA,NA,NA,NA,NA,NA,0
Windham,50025,VT,NA,NA,NA,NA,NA,NA,NA,0
Adams,42001,PA,NA,NA,NA,NA,NA,NA,NA,0
Belknap,33001,NH,NA,3,NA,1,NA,NA,NA,3
Bennington,50003,VT,NA,NA,NA,NA,NA,NA,NA,0
Wyoming,36121,NY,NA,NA,NA,NA,NA,NA,NA,0
Fulton,42057,PA,NA,NA,NA,NA,NA,NA,NA,0
Kent,44003,RI,NA,NA,NA,NA,NA,NA,NA,0
Berks,42011,PA,NA,NA,NA,NA,NA,NA,NA,0
